,Best Guess,Conceptual Space,Exemplar,Proximity,Simple
p_value,1.9661130997347113e-09,9.555183067729438e-50,3.923098202766706e-06,4.909093465297727e-91,8.8677255119021e-12
Our model wins,201.0,270.0,189.0,300.0,208.0
Other model wins,91.0,22.0,100.0,0.0,83.0
