,Our Prototype,Exemplar,Conceptual Space,Best Guess,Simple,Proximity
in,0.774000227112006,0.764275558820218,0.736790390964987,0.902277622244599,0.897482766592495,0.573967107052464
inside,0.844090687682441,0.592452495500179,0.74209814529202,0.892431485419447,0.892431485419447,0.552036755675511
against,0.869101823818319,0.816777998550505,0.871922803944124,0.70956314402282,0.724614069351742,0.583238696389606
on,0.877597741605058,0.915873320473841,0.863547097321768,0.938450717330482,0.859499435394568,0.772920053365868
on top of,0.950377142940236,0.914454123841027,0.949413275065584,0.868932275705393,0.868932275705393,0.78554274622194
under,0.770307225008764,0.879657279207599,0.705888962286629,0.825555206432009,0.875337177905525,0.319616316122905
below,0.911423095110443,0.834206946386097,0.784430088154378,0.8972269100264,0.8972269100264,0.229717778720733
over,0.766470090139978,0.708372391501795,0.708069540847443,0.663785584437423,0.662322192762556,0.489699296182866
above,0.867548289144312,0.836702915187734,0.853181592889203,0.765236972125599,0.765236972125599,0.674697008823084
Average,0.847879591395729,0.806974781052111,0.801704655196238,0.829273324193797,0.827009253920414,0.553492862061664
All,0.857315712546789,0.836369801195036,0.811458352260392,0.837321109063311,0.832446513880866,0.549839243696758
