Number of Native English users: 29
Scene,Number of Users Annotating,Selection Info
compsvi23,6,"[[['on top of', 'table', 5], ['box', 2], ['box (1)', 0], ['none', 3]], [['over', 'table', 2], ['box', 0], ['box (1)', 0], ['none', 2]], [['above', 'table', 3], ['box', 1], ['box (1)', 0], ['none', 2]], [['below', 'table', 4], ['box', 0], ['box (1)', 4]], [['on', 'table', 3], ['box', 2], ['box (1)', 0], ['none', 1]], [['against', 'table', 5], ['box', 3], ['box (1)', 0], ['none', 2]], [['inside', 'table', 4], ['box', 2], ['box (1)', 0], ['none', 2]], [['under', 'table', 4], ['box', 0], ['box (1)', 4]]]"
compsvu23,3,"[[['on top of', 'book', 2], ['box', 0], ['pear', 0], ['table', 0], ['none', 2]], [['over', 'book', 3], ['box', 0], ['pear', 0], ['table', 0], ['none', 3]], [['above', 'book', 2], ['box', 0], ['pear', 0], ['table', 0], ['none', 2]], [['in', 'book', 1], ['box', 0], ['pear', 0], ['table', 0], ['none', 1]], [['on', 'book', 3], ['box', 0], ['pear', 0], ['table', 0], ['none', 3]], [['against', 'book', 1], ['box', 0], ['pear', 0], ['table', 0], ['none', 1]], [['inside', 'book', 3], ['box', 0], ['pear', 0], ['table', 0], ['none', 3]]]"
compsvi26a,5,"[[['on top of', 'lamp', 4], ['pencil', 2], ['bowl', 0], ['table', 0], ['none', 2]], [['over', 'lamp', 2], ['pencil', 0], ['bowl', 0], ['table', 0], ['none', 2]], [['above', 'lamp', 4], ['pencil', 1], ['bowl', 0], ['table', 0], ['none', 3]], [['in', 'lamp', 1], ['pencil', 0], ['bowl', 0], ['table', 0], ['none', 1]], [['below', 'lamp', 2], ['pencil', 0], ['bowl', 1], ['table', 0], ['none', 1]], [['on', 'lamp', 2], ['pencil', 2], ['bowl', 0], ['table', 0]], [['against', 'lamp', 4], ['pencil', 3], ['bowl', 0], ['table', 0], ['none', 1]], [['inside', 'lamp', 4], ['pencil', 0], ['bowl', 0], ['table', 0], ['none', 4]], [['under', 'lamp', 2], ['pencil', 0], ['bowl', 0], ['table', 1], ['none', 1]]]"
compsvo14v,3,"[[['on top of', 'board', 1], ['jar', 0], ['book', 1], ['table', 0]], [['over', 'board', 2], ['jar', 0], ['book', 2], ['table', 0]], [['in', 'board', 2], ['jar', 0], ['book', 0], ['table', 0], ['none', 2]], [['below', 'board', 1], ['jar', 1], ['book', 0], ['table', 0]], [['on', 'board', 2], ['jar', 0], ['book', 2], ['table', 0]], [['against', 'board', 1], ['jar', 0], ['book', 0], ['table', 0], ['none', 1]], [['inside', 'board', 3], ['jar', 0], ['book', 0], ['table', 0], ['none', 3]], [['under', 'board', 3], ['jar', 0], ['book', 0], ['table', 3]]]"
compsvo18,6,"[[['on top of', 'table', 4], ['box', 0], ['book', 3], ['none', 1]], [['over', 'table', 3], ['box', 0], ['book', 1], ['none', 2]], [['above', 'table', 5], ['box', 0], ['book', 1], ['none', 4]], [['in', 'table', 4], ['box', 0], ['book', 0], ['none', 4]], [['below', 'table', 1], ['box', 1], ['book', 0]], [['on', 'table', 3], ['box', 0], ['book', 3]], [['against', 'table', 3], ['box', 3], ['book', 0]], [['inside', 'table', 4], ['box', 0], ['book', 0], ['none', 4]], [['under', 'table', 3], ['box', 0], ['book', 0], ['none', 3]]]"
compsvo69a,5,"[[['on top of', 'table', 2], ['balloon', 0], ['box', 0], ['none', 2]], [['over', 'table', 4], ['balloon', 3], ['box', 0], ['none', 1]], [['above', 'table', 2], ['balloon', 2], ['box', 0]], [['in', 'table', 3], ['balloon', 0], ['box', 0], ['none', 3]], [['below', 'table', 3], ['balloon', 0], ['box', 1], ['none', 2]], [['on', 'table', 3], ['balloon', 1], ['box', 0], ['none', 2]], [['against', 'table', 3], ['balloon', 1], ['box', 0], ['none', 2]], [['inside', 'table', 3], ['balloon', 0], ['box', 0], ['none', 3]], [['under', 'table', 2], ['balloon', 0], ['box', 1], ['none', 1]]]"
compsvu56,3,"[[['over', 'balloon', 2], ['box', 0], ['table', 0], ['none', 2]], [['above', 'balloon', 2], ['box', 0], ['table', 0], ['none', 2]], [['in', 'balloon', 2], ['box', 0], ['table', 0], ['none', 2]], [['below', 'balloon', 2], ['box', 2], ['table', 0]], [['on', 'balloon', 2], ['box', 0], ['table', 0], ['none', 2]], [['inside', 'balloon', 3], ['box', 0], ['table', 0], ['none', 3]], [['under', 'balloon', 2], ['box', 2], ['table', 0]]]"
compsvi46,4,"[[['on top of', 'bowl', 2], ['ball', 0], ['table', 0], ['pencil', 2]], [['over', 'bowl', 2], ['ball', 0], ['table', 0], ['pencil', 1], ['none', 1]], [['above', 'bowl', 3], ['ball', 0], ['table', 0], ['pencil', 2], ['none', 1]], [['in', 'bowl', 3], ['ball', 0], ['table', 0], ['pencil', 1], ['none', 2]], [['below', 'bowl', 1], ['ball', 0], ['table', 1], ['pencil', 0]], [['on', 'bowl', 2], ['ball', 0], ['table', 0], ['pencil', 2]], [['against', 'bowl', 2], ['ball', 2], ['table', 0], ['pencil', 0]], [['inside', 'bowl', 1], ['ball', 0], ['table', 0], ['pencil', 0], ['none', 1]], [['under', 'bowl', 2], ['ball', 1], ['table', 1], ['pencil', 0]]]"
compsva23,3,"[[['on top of', 'book', 3], ['balloon', 0], ['box', 3], ['table', 0]], [['over', 'book', 2], ['balloon', 2], ['box', 0], ['table', 0]], [['above', 'book', 2], ['balloon', 0], ['box', 1], ['table', 0], ['none', 1]], [['in', 'book', 2], ['balloon', 0], ['box', 0], ['table', 0], ['none', 2]], [['on', 'book', 1], ['balloon', 0], ['box', 1], ['table', 0]], [['against', 'book', 1], ['balloon', 0], ['box', 1], ['table', 0]], [['inside', 'book', 2], ['balloon', 0], ['box', 0], ['table', 0], ['none', 2]], [['under', 'book', 2], ['balloon', 0], ['box', 0], ['table', 2]]]"
compsvi24a,4,"[[['on top of', 'cup', 1], ['pear', 1], ['table', 0], ['cube', 0]], [['over', 'cup', 3], ['pear', 3], ['table', 0], ['cube', 0]], [['above', 'cup', 2], ['pear', 2], ['table', 0], ['cube', 0]], [['in', 'cup', 3], ['pear', 3], ['table', 0], ['cube', 0]], [['below', 'cup', 4], ['pear', 0], ['table', 4], ['cube', 0]], [['on', 'cup', 1], ['pear', 1], ['table', 0], ['cube', 0]], [['against', 'cup', 1], ['pear', 0], ['table', 0], ['cube', 1]], [['inside', 'cup', 3], ['pear', 3], ['table', 0], ['cube', 0]], [['under', 'cup', 2], ['pear', 0], ['table', 2], ['cube', 0]]]"
