,,,Average Values
Preposition,Number of Selections,Number of Distinct Configurations,ground_lightsource,ground_container,support,ground_verticality,size_ratio,shortest_distance,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_distance,f_covers_g,g_covers_f,figure_lightsource,figure_container,location_control
on,219,60,0.6388308397289103,-0.03724734056072303,1.3833746070245088,0.2990225879208272,-0.2128261884609417,-0.5679774131748329,1.317046357246846,0.554105622554978,-0.7357365018753208,0.7011413890478838,-0.39849435606444933,-0.3475627803689078,0.937546606402217,-0.121667367388703,-0.3585098587845529,1.0495909404523434
over,57,31,-0.12166736738870304,0.1994724097094683,0.07052910806067168,-0.17353572055727817,-0.1985286087033199,-0.06379634460561903,0.18089620436198725,0.8732593146379799,-0.6259084049904855,0.01413378632566315,-0.055759035416627495,0.0694407738328556,0.481898356998267,-0.12166736738870304,-0.4375982546121526,0.013037422305814565
on top of,159,56,0.24495016453309157,0.002641614836514831,1.4349346495674538,0.04903038074319949,-0.21191823127649273,-0.5252689483677695,0.8166286984881064,0.9710672291873482,-0.7462411464024947,0.08918525551571482,-0.33651836610493535,-0.2146245974821078,0.9282197381222019,-0.12166736738870301,-0.35420810869269526,0.9912254213941433
above,108,47,-0.12166736738870301,-0.029474860281114037,0.44151215175588454,-0.10654607179548006,-0.20539568420805981,-0.1299333365888287,0.22993500779745601,1.063314101676439,-0.7247560640577508,-0.0999348773725706,-0.06250202998950918,-0.18539329301591584,0.7140229302408948,-0.12166736738870301,-0.4497645346599614,0.2502638328607307
against,124,49,0.21411712325395443,0.3548868258040572,0.13356940385328192,0.3397384045278595,-0.21289942322737512,-0.5301525630544575,0.7038483737037234,-0.7151376058978748,-0.6000400795240608,1.152621746434308,-0.12858467558343703,-0.598651568113348,-0.008296061296694648,-0.12166736738870301,0.3731897632366845,0.8056305689368862
under,108,37,0.4951811783844751,-0.5968659206925578,-0.4785446462183228,0.612864504037744,-0.18581390428295586,-0.02756282549292671,-0.24097526423820936,-0.9059561524154999,0.19900278577559122,1.7431055562411744,0.146711853079918,0.024235793901708307,0.436603029354733,-0.12166736738870301,0.8951624233523496,-0.3126992146535084
inside,40,14,-0.12166736738870307,1.4457418967886393,1.0301111116220067,-0.38324244711595046,-0.21274815821435,-0.5883751271400387,2.31412836626376,-0.03930117141288818,-0.7435134042223815,2.5429970412169784,-0.7571898621367557,0.0651968511467941,1.1914277992572073,-0.12166736738870307,-0.3699094965279804,1.429207929223289
below,128,49,0.2036238579213714,-0.5791349500546994,-0.5322732495355328,0.9941866962762671,-0.1914333564485963,0.5058584512463998,-0.32985350353371296,-0.9059561524154996,0.543586092027505,0.8537265520755192,0.5958363972707597,-0.11492077004614741,0.028404918903987855,-0.12166736738870301,0.83934270097391,-0.42294977670052497
in,47,11,-0.12166736738870305,1.6244097200671366,1.0473444780543175,-0.3832424471159504,-0.21274697106123983,-0.5955315135074316,2.3491244296313605,0.061084645875814456,-0.7473098585575214,2.365311079967739,-0.8458668672593475,0.07563445062134212,1.2010243041452027,-0.12166736738870305,-0.5485773198064776,1.3998185576180302
none,82,29,1.3000933051860601,0.06739678417937633,-0.5028263375344532,0.8193744817159482,-0.2091797205870386,0.4149763437685018,-0.1792373626813449,-0.7069649034721817,-0.224206867387408,-0.13250681781304166,0.6001286689305795,-0.8212932508231147,-0.6509904287256321,-0.12166736738870303,0.5655938128333265,-0.04385973813562108
all,1072,139,0.3366534037944488,0.04250758768153159,0.49324981657646977,0.2997226733112579,-0.20563010210935875,-0.23044473462104603,0.6163510450000015,0.07575337594149541,-0.429395319082039,0.7464780947172295,-0.08896503323677596,-0.25542392915176315,0.5205005711541763,-0.1216673673887066,0.044624718503962275,0.5098780594952519
