Preposition,Number of Selections,Number of Distinct Configurations,ground_lightsource,ground_container,support,ground_verticality,shortest_distance,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_distance,f_covers_g,g_covers_f,location_control
on top of,89,44,0.25260028959727,0.015151402897314,1.50282131639887,-0.013899420283682,-0.560120983391566,0.961839439087003,0.847472222113933,-0.720471573053746,0.233204178741521,-0.325559907443274,-0.189640556160258,0.976293042128499,1.07145624750566
over,59,33,0.019475943932278,0.364813842716669,0.264396322859998,-0.129994917161622,-0.205658463161899,0.134884014766186,0.779471077175788,-0.745830278980729,0.160078240553819,-0.051521018677484,0.050924031396847,0.414407908821406,0.352049744502973
above,69,42,-0.000979608433081,0.060978787030855,0.774156194361549,-0.21000645561096,-0.326061297186358,0.393222826807397,1.02083060552762,-0.748462105119941,-0.047998131370259,-0.086916549529084,-0.143071024927199,0.824226466769345,0.679076569272743
in,30,19,-0.121667367388703,1.14313333123587,1.00357638277367,-0.38324244711595,-0.554864774677946,1.44274428556139,-0.136233297336994,-0.732339922771197,2.17408725413782,-0.684585997096928,0.020804547031817,0.958035550680029,1.18505209322228
below,98,51,0.048280701344724,0.005263367907342,-0.590328362034252,0.287605091416129,-0.169961311537903,-0.385504316352729,-0.9059561524155,0.6765252581935,0.6521138328854,-0.0334300571786,0.575123821827433,-0.159704858772002,-0.503834438170231
on,103,51,0.525125282548222,0.020102999366488,1.37919460998576,0.168001205464249,-0.582531735628235,1.54131170721835,0.521108276907605,-0.735186098002949,0.779361673864945,-0.330148540455327,-0.380427255589781,0.948671811471883,1.04927441756648
against,76,43,0.535763319553763,0.328877388399797,0.079774530102089,0.127917698870813,-0.535551519687602,0.473667104365977,-0.622753330788017,-0.617834148016176,1.00820049745546,-0.013899447633597,-0.525355141273249,-0.03491713257714,0.763745772366248
inside,25,16,-0.121667367388703,1.21878547262406,0.881804429155394,-0.263709612977507,-0.485463766583722,1.42515166941023,-0.229667325037451,-0.638731665990844,2.24050888828923,-0.540647469975581,0.139178330133211,0.813698931114022,1.16994299673018
under,90,53,0.433496323807157,0.033568590875713,-0.547650216830055,0.446846678845462,-0.22423261420507,-0.327144629706714,-0.902128391896941,0.652264025834963,0.579917530847371,-0.059573935771363,0.743837127633588,-0.182575197237425,-0.426192102643572
all,639,152,0.243228955463033,0.191621186733676,0.463065524183899,0.084413398496113,-0.392496419146055,0.51195106166023,0.028782616949955,-0.305766286014478,0.659030485886113,-0.181165943590304,0.038426729674579,0.438610272253448,0.47914529182942
