,over-canon,over-near1,over-near2,over-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.045821366083301646,0.000262554485988126,0.08577354093422347,0.0005799195633477631
ground_verticality,0.0,0.0,0.0,0.0
shortest_distance,0.0010692767600787648,0.003195702553613753,0.023188493718724633,0.004020325329392515
contact_proportion,0.008160110428395578,0.00037544780455197593,0.0006494119840396335,0.007333991637328065
above_proportion,0.11120000907435143,0.0005998246309658061,0.14466174088533212,0.019731631721342662
below_proportion,0.02914753120591042,0.002557207419403424,0.022551364575010627,0.002391831705516066
bbox_overlap_proportion,0.040183086025836534,0.0002668761898453796,0.01823392192149829,0.009115010597941038
horizontal_distance,0.01292345132908322,0.0011725472011367747,0.0163444734791844,0.002247538560536356
f_covers_g,0.05623721761142333,0.0033461963868616235,0.001156949254057587,0.0004796450878466359
g_covers_f,0.07668337214933656,0.0004924665646927225,0.0066307605238533265,0.01745210158800747
location_control,0.013892238040734965,0.0011152487240359554,0.00861870224451645,0.0036117647039423163
