,in-canon,in-near1,in-near2,in-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.05012517946930906,0.0043637695044230354,0.011820444555368941,0.02473821153264612
ground_verticality,0.0,0.0,0.0,0.0
shortest_distance,0.01830673516112132,8.460088808476913e-05,0.026612300846509042,0.008030521607020358
contact_proportion,0.02892582818557198,2.0988736164550214e-05,0.0011429490884583885,0.0035862231061628853
above_proportion,0.0025034085574055526,0.0012839571709594186,0.04776464138323851,0.014945677200285279
below_proportion,0.008062392348581427,7.938774235544214e-05,0.01717782734472436,0.007390431348433367
bbox_overlap_proportion,0.004141472979206806,0.002312247456954539,0.03921890563283037,0.003917450317818681
horizontal_distance,0.0035455528014676713,0.0007230168970135054,0.016060740827456753,0.009078106747534632
f_covers_g,0.030930439239315568,0.00012617924315660789,0.04298873704030774,0.0013770945960262832
g_covers_f,0.023877864996764094,0.0013370338652186247,0.0382785134411739,0.0010166542073152852
location_control,0.029640491780069583,0.0013177911137898539,0.04109577753858772,0.0049969696082552036
