Scene,Figure,Ground,ground_lightsource,ground_container,support,ground_verticality,shortest_distance,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_distance,f_covers_g,g_covers_f,location_control
compsva12,box,book,0,0,0.9858431999999999,0,0.01070059,0.0,0.9808219000000001,0.0,0.002342819,0.13221989999999997,0.8260055000000001,0.4822287,0.5794578
compsva12,box,table,0,0,1.0,0,0.04787213,0.0,1.0,0.0,0.0,0.5237052,0.1154825,1.0,0.82216655
compsva12,box,pear,0,0,0.009325785,0,0.02318081,0.0,0.7452055000000001,0.0,0.024865900000000003,0.30716309999999997,0.5276903000000001,0.0819299,0.06908829749999999
compsva12,book,box,0,1,0.0,0,0.0,0.2220654,0.0,0.8974359000000001,0.02649597,0.13221989999999997,0.4822287,0.8260055000000001,0.0207256935
compsva12,book,table,0,0,1.0,0,0.0,0.4095507,0.9317808000000001,0.0,0.02792403,0.4058791,0.06253165,1.0,0.8175412
compsva12,book,pear,0,0,0.0,0,0.0,0.01270289,0.0,0.43213359999999995,0.18418800000000002,0.188196,0.9181388,0.2441752,0.00544867505
compsva12,table,box,0,1,0.0,0,0.06985395,0.0,0.0,1.0,0.0,0.5237052,1.0,0.1072519,0.000194934425
compsva12,table,book,0,0,0.0,0,0.05316863,0.0,0.0,0.8066038000000001,0.00010855020000000001,0.4058791,1.0,0.06253165,0.0005221482499999999
compsva12,table,pear,0,0,0.0,0,0.10805060000000001,0.0,0.0,1.0,0.0,0.218059,1.0,0.01664298,0.000197268685
compsva12,pear,box,0,1,0.0,0,0.00533183,0.02150538,0.0,0.0,0.3878864,0.30716309999999997,0.0819299,0.5276903000000001,0.44312082500000005
compsva12,pear,book,0,0,1.0,0,0.0,0.41935479999999997,0.9689367,0.0,0.2540509,0.188196,0.2441752,0.9181388,0.0488563125
compsva12,pear,table,0,0,1.0,0,0.04814142,0.0,1.0,0.0,0.0,0.218059,0.01738729,1.0,0.603617
compsva13,balloon,book,0,0,0.0,0,0.6189803,0.0,1.0,0.0,0.0,96.51055,0.0,0.0,0.0
compsva13,balloon,table,0,0,0.0,0,0.47680909999999993,0.0,1.0,0.0,0.0,96.36491,0.1898715,1.0,0.0
compsva13,balloon,pear,0,0,0.0,0,0.5626066,0.0,1.0,0.0,0.0,96.42831,0.0,0.0,0.0
compsva13,book,balloon,0,0,0.00045181660000000005,1,0.6057249,0.0,0.0,1.0,0.0,96.51055,0.0,0.0,0.00011010980999999999
compsva13,book,table,0,0,1.0,0,0.0,0.4057869,0.9823571,0.0,0.01120967,0.4062433,0.06269941,1.0,0.8081801750000001
compsva13,book,pear,0,0,0.0013889979999999998,0,0.0,0.01129146,0.0,0.9689485000000001,0.0016667029999999998,0.09080103,1.0,0.07013765,0.000901995775
compsva13,table,balloon,0,0,0.0,1,0.49928770000000006,0.0,0.0,1.0,0.0,96.36491,1.0,0.0979921,3.9253027499999995e-06
compsva13,table,book,0,0,0.0,0,0.05442415,0.0,0.0,0.8066038000000001,4.4791729999999995e-05,0.4062433,1.0,0.06269941,0.000200866125
compsva13,table,pear,0,0,0.0,0,0.1319592,0.0,0.0,1.0,0.0,0.34648049999999997,1.0,0.004427869,8.565794e-05
compsva13,pear,balloon,0,0,0.001471921,1,0.5871031,0.0,0.0,1.0,0.0,96.42831,0.0,0.0,0.001706932
compsva13,pear,book,0,0,1.0,0,0.0,0.06451613,0.9808841,0.0,0.009285692,0.09080103,0.07013765,1.0,0.3096339775
compsva13,pear,table,0,0,0.9307940999999998,0,0.05095786,0.0,1.0,0.0,0.0,0.34648049999999997,0.006321444,1.0,0.96408265
compsva14,box,book,0,0,0.0,0,0.00605409,0.02586207,0.0,1.0,0.0,1.013285,0.6809421999999999,0.5303389000000001,0.0191362275
compsva14,box,table,0,0,0.0,0,0.04323101,0.0,0.0,0.10344829999999999,0.9894348,1.413575,0.08028641,1.0,0.0568777647
compsva14,book,box,0,1,1.0,0,0.003260791,0.204893,1.0,0.0,0.0,1.013285,0.5317795999999999,0.6790974,0.7615330750000001
compsva14,book,table,0,0,0.0004474838,0,0.05509539,0.0,0.0,0.0,1.0,0.4926563,0.06269941,1.0,0.031164965000000003
compsva14,table,box,0,1,0.0,0,0.09180911,0.0,0.7704403000000001,0.0,0.03207487,1.413575,1.0,0.08028641,0.00645732475
compsva14,table,book,0,0,0.0,0,0.2235949,0.0,0.7704403000000001,0.22955970000000003,0.003995818,0.4926563,1.0,0.06269941,0.00021284622499999998
compsva15,balloon,book,0,0,0.0,0,0.43170109999999995,0.0,1.0,0.0,0.0,96.50664,0.6471680000000001,0.30080759999999995,0.0
compsva15,balloon,table,0,0,0.0,0,0.47680600000000006,0.0,1.0,0.0,0.0,96.36443,0.1898715,1.0,0.0
compsva15,balloon,pear,0,0,0.0,0,0.42402790000000007,0.0,1.0,0.0,0.0,96.42474,0.0,0.0,0.0
compsva15,book,balloon,0,0,0.00045181660000000005,1,0.429541,0.0,0.0,1.0,0.0,96.50664,0.5344211,0.45955959999999996,0.00010808627999999999
compsva15,book,table,0,0,1.0,0,0.0,0.4057869,0.9823571,0.0,0.01120967,0.4062433,0.06269941,1.0,0.80821695
compsva15,book,pear,0,0,0.0013889979999999998,0,0.0,0.01129146,0.0,0.9689485000000001,0.0016667029999999998,0.09080103,1.0,0.07013765,0.000899099725
compsva15,table,balloon,0,0,0.0,1,0.5647101,0.0,0.0,1.0,0.0,96.36443,1.0,0.09799208,4.05756125e-06
compsva15,table,book,0,0,0.0,0,0.05442415,0.0,0.0,0.8066038000000001,4.4791729999999995e-05,0.4062433,1.0,0.06269941,0.000221993375
compsva15,table,pear,0,0,0.0,0,0.1319592,0.0,0.0,1.0,0.0,0.34648049999999997,1.0,0.004427869,8.40352125e-05
compsva15,pear,balloon,0,0,0.001471921,1,0.4439495,0.0,0.0,1.0,0.0,96.42474,0.0,0.0,0.00174263675
compsva15,pear,book,0,0,1.0,0,0.0,0.06451613,0.9808841,0.0,0.009285692,0.09080103,0.07013765,1.0,0.31709858750000003
compsva15,pear,table,0,0,0.9307940999999998,0,0.05095786,0.0,1.0,0.0,0.0,0.34648049999999997,0.006321444,1.0,1.0
compsva23,balloon,box,0,1,0.0,0,0.09502655,0.0,1.0,0.0,0.0,96.48482,0.6143393,0.6272521,0.0
compsva23,balloon,book,0,0,0.0,0,0.4322246,0.0,1.0,0.0,0.0,96.50701,0.6462566999999999,0.30005740000000003,0.0
compsva23,balloon,table,0,0,0.0,0,0.4768057,0.0,1.0,0.0,0.0,96.3644,0.18985529999999998,1.0,0.0
compsva23,box,balloon,0,0,0.0001217548,1,0.27791659999999996,0.0,0.0,1.0,0.0,96.48482,0.6883617,0.5598010999999999,0.0016770824750000001
compsva23,box,book,0,0,1.0,0,0.0076167330000000005,0.008219178,0.9123288,0.0,0.008299932,0.15125329999999998,0.7771859999999999,0.4497143,0.8992009750000001
compsva23,box,table,0,0,1.0,0,0.04554719,0.0,1.0,0.0,0.0,0.5431718000000001,0.11628499999999999,1.0,0.87779175
compsva23,book,balloon,0,0,0.0008335247,1,0.429967,0.0,0.0,1.0,0.0,96.50701,0.5328531,0.4586875,0.0003486923
compsva23,book,box,0,1,0.0006800578,0,0.0,0.2204187,0.0,0.7675841,0.09064146,0.15125329999999998,0.4497143,0.7771859999999999,0.02408645275
compsva23,book,table,0,0,1.0,0,0.0,0.4227241,0.9374264999999999,0.0,0.03905162,0.4060579,0.06265693,1.0,0.86324485
compsva23,table,balloon,0,0,0.0,1,0.5647124,0.0,0.0,1.0,0.0,96.3644,1.0,0.09798399,5.7028075e-06
compsva23,table,box,0,1,0.0,0,0.07419488,0.0,0.0,1.0,0.0,0.5431718000000001,1.0,0.1084182,0.000166321905
compsva23,table,book,0,0,0.0,0,0.05457639,0.0,0.0,0.8066038000000001,0.0001611343,0.4060579,1.0,0.06265693,0.0006225308999999999
compsva24,picture,bin,0,1,1.0,0,0.13370829999999997,0.0,1.0,0.0,0.0,0.8412946,1.0,0.504223,0.23310465749999998
compsva24,picture,table,0,0,0.01527379,0,0.0,0.15,0.0,0.0,0.7652800999999999,0.2928416,0.1127377,0.7652800999999999,0.35145876
compsva24,bin,picture,0,0,0.04055569999999999,0,0.004037245,0.406326,0.0,1.0,0.0,0.8412946,0.5069892,1.0,0.26803932795175
compsva24,bin,table,0,0,0.007295239,0,0.05678009999999999,0.0,0.0,0.05352798,0.9484341999999999,0.5652838000000001,0.07059612,0.9504981,0.20234791574999997
compsva24,table,picture,0,0,0.0,0,0.1212365,0.0,0.7704403000000001,0.22955970000000003,0.005342309,0.2928416,0.7652800999999999,0.1127377,0.080122996995
compsva24,table,bin,0,1,0.0,0,0.07333026,0.0,0.7704403000000001,0.0,0.0363468,0.5652838000000001,0.9504981,0.07059612,0.0023701319822500002
compsva25,picture,bin,0,1,0.8659857,0,0.126221,0.0,0.8,0.0,0.05230446,0.8004821,1.0,0.4973657,0.32794515999999996
compsva25,picture,table,0,0,0.009652582,0,0.10290730000000001,0.0,0.0,0.0,0.3644289,0.8955509,0.05428435,0.3644289,0.354807125
compsva25,bin,picture,0,0,0.03072767,0,1.794991e-05,0.47688559999999997,0.0,0.4343066,0.01288729,0.8004821,0.4973657,1.0,0.10021101
compsva25,bin,table,0,0,0.00766702,0,0.054557900000000006,0.0,0.0,0.02919708,0.2619555,0.8382042,0.01941361,0.2620406,0.15105471325
compsva25,table,picture,0,0,0.0,0,0.16425720000000002,0.0,0.7704403000000001,0.22955970000000003,0.003421202,0.8955509,0.3644289,0.05428435,0.001115194775
compsva25,table,bin,0,1,0.0,0,0.0908438,0.0,0.7704403000000001,0.0,0.009980924,0.8382042,0.2620406,0.01941361,0.001506973425
compsva34,balloon,bin,0,1,0.0,0,0.6025593000000001,0.0,1.0,0.0,0.0,95.63110999999999,0.9807450000000001,0.5391064,0.0
