Scene1,Figure1,Ground1,Scene2,Figure2,Ground2,p_value_one_tail
sv_modtypo1,spoon,plate,sv_modtypo3,pear,bowl,0.000269215237582447
sv_modtypo4,clock,board,sv_modtypo3,pear,bowl,0.004044958944676274
sv_modtypo2,mug,pencil,sv_modtypo3,pear,bowl,0.0013797280926100372
