,Distinct Prototype,Shared Prototype,Baseline Model,KMeans Model
in,0.8374453324453323,0.8198837828837828,0.8559272116772115,0.8401535131535133
on,0.9474633952542821,0.9318225642656255,0.9280864370887084,0.9421353450228298
under,0.8788391449529555,0.7268320081622387,0.7791358783287317,0.878259980989083
over,0.8412209476539965,0.7465419848469383,0.7921622232256906,0.6827889488392581
Average,0.8762422050766417,0.8062700850396459,0.8388279375800856,0.8358344470011709
Overall,0.8957407314187585,0.8240483963733263,0.8505634741777538,0.8629701865114757
