,Our Prototype,Exemplar,Conceptual Space,Proximity,Simple,Best Guess
p_value,1.0,9.285122359870002e-08,7.466951501555741e-10,9.094947017729282e-13,0.003213288047845708,0.01923865414210013
Our model wins,0.0,36.0,38.0,40.0,29.0,27.0
Other model wins,0.0,3.0,1.0,0.0,9.0,13.0
