,Our Prototype,Exemplar,Conceptual Space,Best Guess,Simple,Proximity
in,0.8348580671624771,0.8405478115426477,0.8028910862239538,0.9002374059233889,0.9015023863231231,0.5640510222734156
inside,0.8816571952768991,0.7037333103213222,0.8230483623438991,0.897207375901508,0.897207375901508,0.5435612605407127
against,0.8770031887794564,0.8690004990516457,0.879762342281117,0.6813700342345336,0.6813700342345336,0.5819643901872023
on,0.9185948575076576,0.9305398151913415,0.8665407347115729,0.9377403629194409,0.8578024018974088,0.7720398721260605
on top of,0.9733821917949094,0.9694347903275028,0.9713830777608187,0.866036627681548,0.866036627681548,0.7800983891441586
under,0.7484622087279573,0.5465729640761229,0.6738709942013058,0.8274388465289326,0.8621669326902979,0.3188586188033804
below,0.87702603580018,0.8180851585624034,0.7056525238325808,0.8449953567396968,0.8449953567396968,0.23138206950747284
over,0.8000366300939702,0.7158863094945821,0.8294896560572795,0.6847551470639318,0.7303912848422941,0.4858566966936772
above,0.8434423070591716,0.8056182771813553,0.848689135632762,0.8657810564431028,0.8657810564431028,0.6757667447294559
Average,0.8616069646891871,0.7999354373054361,0.822369768116143,0.8339513570484535,0.8341392729726121,0.550397673778393
Overall,0.8664698091884194,0.8102391815265723,0.8169987678146975,0.8358505555264244,0.8315344518501157,0.5483412120977744
