,Our Prototype,Exemplar,Conceptual Space,Proximity,Simple,Best Guess
in,0.7167832167832169,0.736013986013986,0.6783216783216783,0.5559440559440559,0.9090909090909092,0.905011655011655
inside,0.7377622377622377,0.6013986013986014,0.6923076923076923,0.5541958041958042,0.8968531468531469,0.8968531468531469
against,0.8346153846153846,0.8307692307692307,0.8461538461538461,0.575,0.6788461538461539,0.6788461538461539
on,0.8872372372372372,0.9507507507507508,0.8737237237237236,0.7716216216216216,0.8542042042042042,0.936036036036036
on top of,0.9660606060606061,0.946060606060606,0.9503030303030303,0.7793939393939394,0.8672727272727272,0.8672727272727272
under,0.6792756539235413,0.5867203219315895,0.6446680080482897,0.3188128772635815,0.8652917505030181,0.8296780684104628
below,0.8681988742964353,0.8204502814258912,0.676172607879925,0.23283302063789868,0.8467166979362102,0.8467166979362102
over,0.7794117647058824,0.6911764705882353,0.8774509803921569,0.46568627450980393,0.7205882352941176,0.6519607843137255
above,0.8673054587688733,0.7587108013937283,0.8185249709639953,0.6747967479674797,0.8678861788617886,0.8678861788617886
Average,0.8151833815726017,0.769116783370291,0.7841807264549263,0.5475871490593538,0.8340833337624751,0.8311401609491006
Overall,0.8275477401911737,0.7906627211376749,0.7911587507717199,0.5438230472824814,0.8313137334213272,0.8344389330040661
