,Best Guess,Conceptual Space,Exemplar,Proximity,Simple
p_value,2.3116522337692767e-21,1.8808063064511486e-71,2.0804991768928563e-67,4.909093465297727e-91,1.2867921976275506e-24
Our model wins,230.0,289.0,286.0,300.0,236.0
Other model wins,64.0,8.0,9.0,0.0,55.0
