,Our Prototype,Exemplar,Conceptual Space,Proximity,Simple,Best Guess,Linear Regression Model,Polynomial Regression Model,Ridge Regression Model
in,0.8100472669781619,0.8238697757979786,0.7957277893352821,0.5834269435701802,0.8969887356507918,0.8980729653746167,0.8112736505973548,0.7023984514810694,0.8124752905489947
inside,0.8391983153823477,0.7020344337179554,0.7915784216028728,0.5620270134885035,0.8915828869973659,0.8915828869973659,0.8755606967188652,0.6801962821873464,0.8755606967188652
against,0.8539030270046597,0.8323584208523845,0.8571714579411862,0.5803336732748627,0.6837619739351191,0.6837619739351191,0.8364073318466849,0.6698399204324518,0.8406607469808917
on,0.9194846720569956,0.9285733205581395,0.8784714540410651,0.7759023216712873,0.8619021531085563,0.9384993564387869,0.9643001901166087,0.6549982366421344,0.9698742344675244
on top of,0.9759932980888166,0.9673563326023125,0.9710738189394454,0.7829476254740417,0.8686035913715362,0.8686035913715362,0.9699110530522089,0.6800352021272038,0.9676325318422361
under,0.7427216127397122,0.5813614916456451,0.6690707582809019,0.32023548081087894,0.8633564682430755,0.829055436906496,0.9279111997760683,0.6245941053243897,0.9299753578513907
below,0.8784300662713249,0.8393832010343916,0.6791571026669467,0.23071178063013625,0.8487295228805326,0.8487295228805326,0.907942726967239,0.5942330352617129,0.9080747738587037
over,0.7885386758382613,0.699477468603308,0.7963141151830699,0.48459704390637626,0.7311940125126122,0.6830678106904909,0.7400117879483051,0.5802766618435138,0.7404482302446067
above,0.8359910535908842,0.7989087520962033,0.8455521371753321,0.6769403683213403,0.8654974826515233,0.8654974826515233,0.809845065123147,0.5774139695364034,0.8077440203385494
Average,0.8493675542167962,0.7970359107675908,0.8093463394629005,0.5552358056830675,0.8346240919279015,0.8340967808051634,0.8714626335718314,0.6404428738706918,0.8724939869835293
Overall,0.85818948864804,0.8097740920686325,0.806738780091084,0.5485112304548851,0.83249505886459,0.8364794977845509,0.8905673150019193,0.6394782687772879,0.8918752970732843
