,on-canon,on-near1,on-near2,on-near3,on-not far1,on-not far2,on-not far3,on-far1
Number,7.0,23.0,1.0,6.0,3.0,4.0,5.0,12.0
Rank,1.0,0.7854497354497353,1.0,0.7755102040816327,0.1641025641025641,0.5331632653061225,0.28583333333333333,0.08698250106700811
