,Our Prototype
in,0.7603838524471569
inside,0.8345638839587762
against,0.8428169390558902
on,0.9068855722369797
on top of,0.969285985302091
under,0.7257951821113466
below,0.8610159246340189
over,0.7723174760266567
above,0.8462242364539339
Average,0.8354765613585389
Overall,0.845391684826771
