,location_control,support,None removed
in,0.7838339466272797,0.813258816240068,0.8139510606129537
inside,0.8298367749384417,0.8684671555487747,0.8562652965539966
against,0.845179193043781,0.883174707995247,0.8735968729147126
on,0.9108361336287968,0.8552054566725954,0.9130562551639771
on top of,0.9706039955293708,0.9322551066015251,0.9731055028673723
under,0.7207956866465878,0.7304127678076934,0.7368778962544065
below,0.8607215740112547,0.8658572095581566,0.8667287824531051
over,0.7919402731607308,0.749326720168574,0.7956106985112992
above,0.8378895490815114,0.8485829234868647,0.8421948424947924
Average,0.8390707918519729,0.838504540453277,0.8523763564251787
Overall,0.847710076101225,0.8409369671489421,0.8590381678686321
