,Our Prototype
in,0.8139510606129537
inside,0.8562652965539966
against,0.8735968729147126
on,0.9130562551639771
on top of,0.9731055028673723
under,0.7368778962544065
below,0.8667287824531051
over,0.7956106985112992
above,0.8421948424947924
Average,0.8523763564251787
Overall,0.8590381678686321
