,Our Prototype
in,0.7838339466272797
inside,0.8298367749384417
against,0.845179193043781
on,0.9108361336287968
on top of,0.9706039955293708
under,0.7207956866465878
below,0.8607215740112547
over,0.7919402731607308
above,0.8378895490815114
Average,0.8390707918519729
Overall,0.847710076101225
