,location_control:in,location_control:inside,location_control:against,location_control:on,location_control:on top of,location_control:under,location_control:below,location_control:over,location_control:above,location_control:Average,location_control:Overall,support:in,support:inside,support:against,support:on,support:on top of,support:under,support:below,support:over,support:above,support:Average,support:Overall
p_value,5.85862734761727e-12,1.0601683861506496e-08,1.28426519299215e-17,0.08094495659096507,0.014160415600137487,8.325363399846337e-07,0.0003058333094545472,0.048684032671332894,0.039081869026599554,5.245959289844875e-25,1.2796454932048312e-23,0.2703913638407571,0.9999771621065712,0.9999999943761597,1.267484250699172e-33,2.0473366260404014e-26,0.007906020479553817,0.21898487692376256,1.916786006800069e-11,0.9783687747451014,4.3755917370143725e-21,1.0731830077712421e-28
With feature wins,106.0,72.0,130.0,37.0,33.0,94.0,42.0,35.0,43.0,171.0,160.0,45.0,11.0,18.0,193.0,162.0,84.0,13.0,126.0,61.0,162.0,171.0
Without feature wins,26.0,20.0,24.0,33.0,34.0,40.0,32.0,31.0,39.0,29.0,26.0,45.0,44.0,61.0,3.0,7.0,59.0,10.0,50.0,88.0,38.0,21.0
