,Our Prototype
in,0.8257039993850022
inside,0.85160368959219
against,0.8724846232395146
on,0.9162844566433295
on top of,0.9717931157156274
under,0.7264768349271373
below,0.8713341607126519
over,0.7743980374314032
above,0.8330746926444828
Average,0.8492392900323711
Overall,0.855586479796211
