,Our Prototype
in,0.8143453027638815
inside,0.8613090114389592
against,0.87979027924929
on,0.8602275028146862
on top of,0.9292285906726395
under,0.7214462116778478
below,0.8714407984250903
over,0.7448731849827191
above,0.8373146115915171
Average,0.8355528326240698
Overall,0.8378269814948924
