,Our Prototype
in,0.7025462962962963
inside,0.6975524475524475
against,0.8793859649122806
on,0.841394237945962
on top of,0.9597007722007722
under,0.7878510378510378
below,0.8642314990512334
over,0.7645576707726764
above,0.8897660818713451
Average,0.8207762231615613
Overall,0.8391141569896567
