,Our Prototype
in,0.7337962962962963
inside,0.7097902097902098
against,0.8793859649122806
on,0.948051948051948
on top of,0.9843146718146718
under,0.778083028083028
below,0.8642314990512334
over,0.7858342665173572
above,0.9271929824561403
Average,0.8456312074414629
Overall,0.8661336379211879
