,location_control:in,location_control:inside,location_control:against,location_control:on,location_control:on top of,location_control:under,location_control:below,location_control:over,location_control:above,location_control:Average,location_control:Overall,support:in,support:inside,support:against,support:on,support:on top of,support:under,support:below,support:over,support:above,support:Average,support:Overall
p_value,0.6820859986855794,0.9996602258725034,9.108291487791575e-05,0.9988892831133853,0.9999993086939867,0.8659063744726154,0.9999788614886711,0.9999999071487764,0.9999958177077133,9.108291487791575e-05,9.108291487791575e-05,0.9999993086939867,0.9999999992533048,0.9999999071487764,3.728928277269006e-11,0.07692997208141605,0.9596547661240038,0.9999999999990905,0.3179140013144206,0.9917054983125126,0.003213288047845708,9.285122359870002e-08
With feature wins,19.0,10.0,32.0,11.0,6.0,17.0,8.0,5.0,7.0,32.0,32.0,6.0,3.0,5.0,39.0,25.0,15.0,1.0,22.0,13.0,29.0,36.0
Without feature wins,4.0,5.0,4.0,7.0,8.0,7.0,4.0,8.0,14.0,8.0,7.0,8.0,8.0,13.0,0.0,0.0,10.0,2.0,12.0,20.0,11.0,3.0
