,Our Prototype
in,0.813258816240068
inside,0.8684671555487747
against,0.883174707995247
on,0.8552054566725954
on top of,0.9322551066015251
under,0.7304127678076934
below,0.8658572095581566
over,0.749326720168574
above,0.8485829234868647
Average,0.838504540453277
Overall,0.8409369671489421
