,Distinct Prototype,Shared Prototype,Baseline Model,KMeans Model
in,0.8009592947886958,0.67205729841846,0.8494404113732608,0.6846944948578343
on,0.9421822983978583,0.9257227345744203,0.8937601263065913,0.9506085030508304
under,0.8290581944095851,0.7423273800874493,0.7957946394367313,0.8744076201106986
over,0.7067140049119454,0.7383357012933672,0.7772661167970093,0.6165811686406653
Average,0.8197284481270213,0.7696107785934242,0.8290653234783982,0.7815729466650072
Overall,0.8385518607556477,0.7895630883080496,0.8329082298223143,0.8307361585651557
