,Distinct Prototype,Shared Prototype,Baseline Model
in,0.8213011155511157,0.8256958041958044,0.8282574647574649
on,0.9413433767845699,0.9477722141431251,0.9145865209663327
under,0.8783818601975786,0.7607856715860081,0.7759403094564756
over,0.8404903111594286,0.7696223612988317,0.8234319046966105
Average,0.8703791659231733,0.8259690128059424,0.8355540499692212
Overall,0.8945140424208283,0.842508560859071,0.8450777613909178
