,Distinct Prototype,Baseline Model,KMeans Model
in,0.827335858585859,0.842554473304473,0.813593073593074
inside,0.89292957042957,0.923055944055944,0.861129204129204
against,0.814934744521045,0.86154253681475,0.836697084494453
on,0.948631800060174,0.932122142378152,0.945388576384375
on top of,0.988596719070403,0.975428795490715,0.968693761518838
under,0.889266244620699,0.781936498588949,0.874192980905542
below,0.769492806365255,0.849987259412703,0.885189191249057
over,0.811465747315979,0.792887088831361,0.683722369220047
above,0.843210822674057,0.828039924128159,0.823521706234941
Average,0.865096034849227,0.865283851445023,0.854680883081059
Overall,0.874548717637967,0.871931108758224,0.874037505773477
