,Distinct Prototype,Baseline Model,KMeans Model
Distinct Prototype,0,0.647717042249562,0.389350542207732
Baseline Model,0.352282957750438,0,0.287286304359355
KMeans Model,0.610649457792268,0.712713695640645,0
