scene,preposition,ground,f1,f2,weight,parity,weak,lhs,rhs
compsva25,in,bin,picture,table,1,False,False,"[1.3738814017884535, -0.23279427277511766, -0.4495031203312162, 0.8682109144677286, -0.7484621051199398, -0.10097160385772859, -0.38741601422708205, 1.4779347335894955, 0.31720078311349315, 0.06328040692011759]","[-0.6282480394372745, -0.33643604090835166, -0.4495031203312162, 0.8026561066590434, -0.7484621051199398, -0.30817898487685963, -0.38672050004221287, -0.28493970980880134, -0.8294903295227972, -0.8013114815433261]"
compsvi12,in,cup,pencil,table,1,False,False,"[1.6837178985981087, -0.602573893987224, 2.412757657805914, 0.4045081785115099, -0.7484621051199398, 1.9900645039075768, -0.4015535290449964, 0.2737700639717257, 1.02542573859759, 1.2786349232808496]","[-0.6282480394372745, -0.5299117194261036, -0.4495031203312162, -0.9059561524155018, 1.6343840719040235, -0.3570435486078057, -0.40086257066693376, 1.4779347335894955, -0.845032142707118, -0.7598571204721695]"
compsvi12,in,cup,pencil,cube,1,False,False,"[1.6837178985981087, -0.602573893987224, 2.412757657805914, 0.4045081785115099, -0.7484621051199398, 1.9900645039075768, -0.4015535290449964, 0.2737700639717257, 1.02542573859759, 1.2786349232808496]","[0.28855026226437286, -0.602573893987224, 3.048815686243471, -0.9059561524155018, -0.7484621051199398, 1.9493280575188372, -0.40072889629991015, -0.5704806436752293, 0.2541665162068937, 1.8432595489531811]"
compsvi13,in,mug,pencil (1),table,3,False,False,"[1.3323832315768749, -0.602573893987224, 1.9887187389596213, 0.4045081785115099, -0.7484621051199398, 2.6024360020260717, -0.40196233457552616, 0.3981407707431898, 1.5064904865778408, 1.8432595489531811]","[-0.6282480394372745, -0.5392507341598147, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570177612333655, -0.3973616932018456, 1.4779347335894955, -0.8399484570195036, -0.8045334452522412]"
compsvi13,in,mug,pencil (1),pencil,3,False,False,"[1.3323832315768749, -0.602573893987224, 1.9887187389596213, 0.4045081785115099, -0.7484621051199398, 2.6024360020260717, -0.40196233457552616, 0.3981407707431898, 1.5064904865778408, 1.8432595489531811]","[1.1401631467363, -0.4971990209957124, -0.4495031203312162, -0.9059561524155018, -0.7484621051199398, 1.8839843633217308, -0.4006232782465512, -0.44035663013718646, 0.2345791647177827, 0.7976064735740364]"
compsvi14,in,bowl,ball,table,2,False,False,"[-0.05201642340046122, -0.602573893987224, 2.743137486571305, -0.5614577057452173, -0.7484621051199398, 3.1819072641816097, -0.40210918036653553, -0.15095698657965467, 1.5231088579503727, 1.221108877533312]","[-0.6282480394372745, -0.47343335408452614, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3569196137454828, -0.4011621133511566, 1.4779347335894955, -0.8229110455926996, -0.802639558303588]"
compsvi14,in,bowl,ball,pencil,2,False,False,"[-0.05201642340046122, -0.602573893987224, 2.743137486571305, -0.5614577057452173, -0.7484621051199398, 3.1819072641816097, -0.40210918036653553, -0.15095698657965467, 1.5231088579503727, 1.221108877533312]","[1.6837178985981087, -0.602573893987224, 0.6105938269526342, 0.7405245542059091, -0.7484621051199398, 0.06817167142220154, -0.4011162352021234, 0.5742656777169683, 0.44153159385724705, 1.2154070458986845]"
compsvi14a,in,bowl,cube,table,2,False,False,"[1.6837178985981087, -0.602573893987224, 2.1742359845997994, 0.20289826438651715, -0.7484621051199398, 2.0920581239121403, -0.4018285263497571, -0.44807070512914643, 1.5231088579503727, 1.082308431920464]","[-0.6282480394372745, -0.49261618644949345, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570323175499042, -0.4010707232286667, 1.4779347335894955, -0.8201269939507758, -0.8023973307237545]"
compsvi14a,in,bowl,cube,pear,2,False,False,"[1.6837178985981087, -0.602573893987224, 2.1742359845997994, 0.20289826438651715, -0.7484621051199398, 2.0920581239121403, -0.4018285263497571, -0.44807070512914643, 1.5231088579503727, 1.082308431920464]","[1.6837178985981087, -0.6000361548136733, 0.8127336842341327, 1.261410468894841, -0.7484621051199398, 0.6902591696422785, -0.4013988023480048, 0.15002141378638398, 0.9553426930384576, 1.484210770407266]"
compsvi15,in,box,pear,jar,2,False,False,"[-0.3546770403316422, -0.602573893987224, 6.5471344928181585, -0.9059561524155018, -0.7484621051199398, 4.484547264095121, -0.3905531266794331, -0.05281274924775162, 1.5231088579503727, 1.782450875037032]","[-0.6282283142710193, -0.6015652851419684, 1.205241556013006, -0.9059561524155018, -0.30167844692794665, 0.34900655028049604, -0.3903380455447842, -0.8140210765010307, -0.530058572239583, -0.30109739255194207]"
compsvi15,in,box,pear,pencil,2,False,False,"[-0.3546770403316422, -0.602573893987224, 6.5471344928181585, -0.9059561524155018, -0.7484621051199398, 4.484547264095121, -0.3905531266794331, -0.05281274924775162, 1.5231088579503727, 1.782450875037032]","[-0.6282480394372745, -0.602573893987224, 2.412757657805914, -0.9059561524155018, -0.7484621051199398, 1.9722149227559058, -0.38980941965862914, -0.8655263107378854, 0.2653819435612145, -0.13761440224089333]"
compsvi15,in,box,pear,table,2,False,False,"[-0.3546770403316422, -0.602573893987224, 6.5471344928181585, -0.9059561524155018, -0.7484621051199398, 4.484547264095121, -0.3905531266794331, -0.05281274924775162, 1.5231088579503727, 1.782450875037032]","[-0.6282480394372745, -0.3329008093342945, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570416453888105, -0.39059051862651223, 1.4779347335894955, -0.6758102566336546, -0.8031501697379632]"
