Annotation ID,Clean User ID,Task,Scene,Preposition,Prepositions,Figure,Ground,Time
b6d7aae4-5359-44d0-ad00-512f4223bb73,6,sv,compsvo12,,on;over;on top of;above;,book (1),table,20190619-160622
49d4261b-9c4c-4fd7-8d36-448c8f78d960,6,sv,compsvo12,,against;under;inside;below;,box,table,20190619-160640
bbdd3115-ee6e-4688-96e7-01f0a7aca1f5,6,sv,compsvo12,,over;on top of;,book,table,20190619-160618
e3721ed1-f9b2-4ba4-bdce-abd9aead5be6,6,sv,compsvo29,,against;,box,table,20190619-160635
440d5256-b89b-422e-adc9-25999ac2d18f,6,sv,compsvo29,,on top of;above;,book,table,20190619-160653
bc5f0293-ffc7-4d74-836b-d67b09fd573f,6,sv,compsvo23v,,against;below;,jar,board,20190619-160620
a2ad33eb-9eb0-479b-b420-d57a3c0b6280,6,sv,compsvo23v,,against;on;,clock,board,20190619-160636
e088047a-f9dc-4c9b-add2-73ce3761cb84,6,sv,compsvi13,,in;,pencil (1),mug,20190619-160648
1fe8b214-3f00-43a3-b15e-65e2bc9e8cd5,6,sv,compsvi13,,against;,pencil,mug,20190619-160605
2dc3d2ac-9eae-41b2-9f03-7b7e2f8e1bcd,6,sv,compsvo14a,,on top of;above;,box,table,20190619-160631
54eefc49-38ce-4347-a7ad-a94e40ffc186,6,sv,compsvo14a,,on top of;above;,book,table,20190619-160649
7b5bdbd7-a154-45e9-86d7-e8358cedf4bb,6,sv,compsvu15,,below;,book,balloon,20190619-160603
0363ad12-7a5f-4f88-a7d5-32a5120d7e76,6,sv,compsvu15,,under;,table,balloon,20190619-160616
ad8344c6-b081-4d43-9ad9-ee7ac5da9950,6,sv,compsvo16a,,on;on top of;,book,table,20190619-160634
19f3f019-5418-4376-8341-c2baaa6e9840,6,sv,compsvo16a,,against;,balloon,table,20190619-160645
ffcc7038-03f9-4558-96db-f99934395742,6,sv,compsvo13v,,against;,jar,board,20190619-160655
7bbf569a-059e-416b-b9c7-2f704cf2678e,6,sv,compsvo13v,,on top of;above;,book,board,20190619-160609
e78a1cb3-5981-479c-a8f6-c6ad516c4a62,6,sv,compsvu67a,,none;,box,balloon,20190619-160622
ef97b719-429f-422f-a963-286946e356e1,6,sv,compsvu67a,,none;,table,balloon,20190619-160630
9673ba8f-eb45-495f-aa95-441e032c42f1,6,sv,compsvi46,,none;,ball,bowl,20190619-160643
466253b2-663b-482f-bb8d-aaa2f89ae984,6,sv,compsvi46,,over;on top of;,pencil,bowl,20190619-160658
e2619a36-326b-4515-83dc-e6a09f651311,6,comp,compsvo16,on top of,,book,table,20190619-160637
268f8942-7e9a-4542-83a9-785351641743,6,comp,compsvo16,over,,balloon,table,20190619-160640
71e76e96-34ff-420d-9e0b-f8d03c504fbb,6,comp,compsvo16,above,,balloon,table,20190619-160648
b461466c-1346-40d3-ae86-46892642e9aa,6,comp,compsvo16,in,,none,table,20190619-160653
c523e46d-fc03-429e-8f2a-979d4b15a110,6,comp,compsvo16,below,,none,table,20190619-160655
49abf59d-288e-465b-8165-1bd277595561,6,comp,compsvu67a,on,,none,balloon,20190619-160600
7f50caac-2784-435e-a53e-11bf1dc017e2,6,comp,compsvu67a,against,,none,balloon,20190619-160602
acd132bd-f477-4543-835d-1260b54041fa,6,comp,compsvu67a,inside,,none,balloon,20190619-160603
bcfb6f91-8b85-4cc3-81d9-538183715fac,6,comp,compsvu67a,in,,none,balloon,20190619-160605
fff4a74b-5ffa-4ec5-ba21-8f484da748ae,6,comp,compsvu67a,below,,none,balloon,20190619-160612
71ad92af-8e14-4abb-8d6b-2bef4f892c44,6,comp,compsvu53,under,,table,book,20190619-160623
88aa2732-3fc1-4d44-ba4b-70d3ec66047e,6,comp,compsvu53,in,,none,book,20190619-160626
980d536a-cd35-40ec-a787-42056145fa86,6,comp,compsvu53,above,,none,book,20190619-160628
834fad95-9fef-4895-a49e-2073d6e0512e,6,comp,compsvu53,below,,box,book,20190619-160637
6b9a299f-01ac-4266-af0f-f1452c4dbddf,6,comp,compsvu53,inside,,none,book,20190619-160639
06a79d9d-8a72-4d3c-bb48-7aaebea85437,6,comp,compsvu16,under,,table,balloon,20190619-160645
87dd1152-0383-4316-b18b-7b0337615a46,6,comp,compsvu16,above,,none,balloon,20190619-160647
5da3bee6-ad3b-4d47-b78a-abb2e04d7e65,6,comp,compsvu16,inside,,none,balloon,20190619-160649
baa683de-3cc3-4e25-ac5d-98007200e0ab,6,comp,compsvu16,over,,none,balloon,20190619-160652
efcf54f2-697d-4595-a630-240ba68b8974,6,comp,compsvu16,on,,none,balloon,20190619-160653
f1443624-5092-487e-bce4-8a28b9015e87,6,comp,compsvi12,above,,cup,table,20190619-160604
fc228c75-4dbd-40e4-8b03-82b3162b64da,6,comp,compsvi12,against,,cube,table,20190619-160611
87694564-82aa-42d5-85a2-b0f8c1883429,6,comp,compsvi12,inside,,none,table,20190619-160615
4f4a5791-cd3f-4e8d-947b-51e5474759f1,6,comp,compsvi12,on,,cup,table,20190619-160619
d137d355-957f-433c-b3e2-6c0235fa4074,6,comp,compsvi12,in,,none,table,20190619-160621
0e46afec-0439-4f5b-a1b2-f1f5bc5b4dc8,6,comp,compsvi12,below,,table,cup,20190619-160627
6ccab2eb-44a5-4dcc-b1c7-d03b4abe4b57,6,comp,compsvi12,under,,table,cup,20190619-160631
70f41f99-7326-4b3c-910a-9fc045b9f7ba,6,comp,compsvi12,over,,none,cup,20190619-160633
e570fb99-067f-4b79-830a-7c79a087ce89,6,comp,compsvi12,on top of,,pencil,cup,20190619-160645
1dee2cc9-7e0c-4deb-a31e-fc32ae332357,6,comp,compsvo17,in,,box,table,20190619-160651
6dbb6578-5847-49a5-bcd3-d9e676b3c53e,6,comp,compsvo17,above,,book,table,20190619-160653
32ecfa6b-d1fa-467e-883f-e280cd15bee7,6,comp,compsvo17,below,,box,table,20190619-160655
b04c4241-de4a-40af-a970-63a8bfb8b7fa,6,comp,compsvo17,under,,box,table,20190619-160657
46d801b7-f5b3-4f83-8e4b-97563392ccc6,6,comp,compsvo17,against,,none,table,20190619-160601
86b0972f-9b51-43c2-82f3-032b0ffb7cd4,6,comp,compsvi24a,in,,pear,cup,20190619-160605
771e8786-011b-4c81-9aba-80fde6947e3a,6,comp,compsvi24a,below,,table,cup,20190619-160608
dadcd968-9ce8-4554-8b54-e50efc532db6,6,comp,compsvi24a,under,,table,cup,20190619-160610
9d7e1378-8e7a-4959-95eb-e88a335ad0ba,6,comp,compsvi24a,over,,pear,cup,20190619-160615
3ea5752c-6a11-4ff6-820f-85f7ece377e5,6,comp,compsvi24a,inside,,pear,cup,20190619-160617
aab5114e-6ed6-4887-aa4e-2b8d4fee2abc,6,comp,compsvo78,over,,none,table,20190619-160622
083759a9-5a57-4186-97ee-7a501fa81d73,6,comp,compsvo78,above,,none,table,20190619-160624
64bf5c14-008d-466b-a2b9-dac91324dbdb,6,comp,compsvo78,against,,box,table,20190619-160627
f8322516-ed64-4bfc-aa19-0f6d27728689,6,comp,compsvo78,below,,box (1),table,20190619-160629
01aa8e61-2ec5-4e0f-bcf2-074ea29787e1,6,comp,compsvo78,inside,,box (1),table,20190619-160632
a05488a9-6a84-4a3e-b613-dd41aad0b219,6,comp,compsvu17,on top of,,none,table,20190619-160636
55a1389c-4f02-47c0-9de9-dd8523616d83,6,comp,compsvu17,under,,box,table,20190619-160638
9105a905-acad-4fa2-9f7d-0404a27c3d7e,6,comp,compsvu17,on,,none,table,20190619-160640
c7936956-f50e-4a88-975d-bd9676d9d643,6,comp,compsvu17,over,,none,table,20190619-160641
4b9e6da4-4c03-4b14-9b4b-c7b929dd4c5a,6,comp,compsvu17,above,,none,table,20190619-160642
6a120d10-2f37-46ff-acad-c8344e04598c,6,comp,compsvo67,above,,balloon,table,20190619-160646
e1da1b27-9fea-4808-885e-a3f820d29d5e,6,comp,compsvo67,under,,box,table,20190619-160648
