Preposition,Scene,Ground,Figure 1,Figure 2,Better Category Member,More Typical Configuration
in,compsvo12,table,book (1),box,None,"[box,table]"
in,compsvo12,table,book (1),book,None,None
in,compsvo12,table,box,book,None,"[box,table]"
in,compsvo29,table,box,book,None,None
in,compsvo23v,board,jar,clock,None,None
in,compsvi13,mug,pencil (1),pencil,"[pencil (1),mug]*","[pencil (1),mug]"
in,compsvo14a,table,box,book,None,None
in,compsvu15,balloon,book,table,None,None
in,compsvo16a,table,book,balloon,None,None
in,compsvo13v,board,jar,book,None,None
in,compsvu67a,balloon,box,table,None,None
in,compsvi46,bowl,ball,pencil,None,"[pencil,bowl]"
in,compsvi26a,lamp,pencil,bowl,None,None
in,compsvul,lamp,pencil,bowl,None,None
in,compsvi24,cup,cube,pencil,None,None
in,compsvo16,table,book,balloon,None,None
in,compsva34,bin,balloon,table,None,None
in,compsvo79,table,box,box (1),None,"[box (1),table]"
in,compsvo19,table,box,book,None,None
in,compsvu56,balloon,box,table,None,None
in,compsvi14,bowl,ball,pencil,"[ball,bowl]*","[ball,bowl]"
in,compsvi15,box,pencil,pear,"[pear,box]*","[pear,box]"
in,compsvu53,book,box,table,None,None
in,compsvu23,book,box,pear,None,None
in,compsvo67,table,box,balloon,None,None
in,compsva25,bin,picture,table,None,"[picture,bin]"
in,compsvu34,book (1),picture,table,None,None
in,compsva23,book,box,balloon,None,None
in,compsvo24v,board,jar,clock,None,None
in,compsva12,book,box,pear,None,None
in,compsvi16,bowl,pear,pencil,"[pencil,bowl]*","[pencil,bowl]"
in,compsvu16,balloon,book,table,None,None
in,compsva24,bin,picture,table,None,None
in,compsvo17,table,box,book,None,"[box,table]"
in,compsvi36,mug,pencil,pear,None,"[pencil,mug]"
in,compsvo24,table,pear,book,None,None
in,compsva15,book,balloon,pear,None,None
in,compsvi25,box,pencil,pencil (1),None,"[pencil,box]"
in,compsvo69a,table,box,balloon,None,None
in,compsvi12,table,pencil,cube,None,None
in,compsvi12,table,pencil,cup,None,None
in,compsvu63,book,box,table,None,None
in,compsvi12,table,cube,cup,None,None
in,compsvi26,cup,cube,pencil,None,None
in,compsvi12,cup,pencil,cube,"[pencil,cup]*","[pencil,cup]"
in,compsvo14v,board,jar,book,None,None
in,compsvo18,table,box,book,None,None
in,compsvo78,table,box,box (1),None,None
in,compsvi3,mug,pencil,pear,None,"[pencil,mug]"
in,compsvu67,balloon,box,table,None,None
in,compsvu25a,balloon,box,table,None,None
in,compsvi24a,cup,pear,cube,"[pear,cup]","[pear,cup]"
in,compsvi34,mug,pencil (1),pencil,None,"[pencil,mug]"
in,compsva14,box,book,table,None,None
in,compsvi45,mug,pencil,cup,"[pencil,mug]",None
in,compsvu17,table,box,box (1),None,None
in,compsvula,lamp,pencil,bowl,None,None
in,compsvo89,table,box,box (1),None,None
in,compsvo68,table,box,balloon,None,None
in,compsvo34v,board,jar,book,None,None
in,compsvo28,table,box,book,None,None
in,compsvi14a,bowl,cube,pear,"[cube,bowl]","[cube,bowl]"
in,compsvo26,table,balloon,book,None,None
in,compsvo27,table,box,book,None,"[box,table]"
in,compsvo14,table,book (1),book,None,None
in,compsvinew2,shelf,mug,box,"[mug,shelf]","[mug,shelf]"
in,compsvo68a,table,box,balloon,None,None
in,compsvinew1,plate,cube,pencil,None,"[cube,plate]"
inside,compsvo12,table,book (1),box,"[box,table]",None
inside,compsvo12,table,book (1),book,None,None
inside,compsvo12,table,box,book,"[box,table]",None
inside,compsvo29,table,box,book,None,None
inside,compsvo23v,board,jar,clock,None,None
inside,compsvi13,mug,pencil (1),pencil,"[pencil (1),mug]*","[pencil (1),mug]"
inside,compsvu15,balloon,book,table,None,"[table,balloon]"
inside,compsvo16a,table,book,balloon,None,None
inside,compsvo13v,board,jar,book,None,None
inside,compsvu67a,balloon,box,table,None,None
inside,compsvi46,bowl,ball,pencil,None,None
inside,compsvi26a,lamp,pencil,bowl,None,None
inside,compsvul,lamp,pencil,bowl,None,None
inside,compsvi24,cup,cube,pencil,None,None
inside,compsvo16,table,book,balloon,None,None
inside,compsva34,bin,balloon,table,None,None
inside,compsvu56,balloon,box,table,None,None
inside,compsvi14,bowl,ball,pencil,"[ball,bowl]*","[ball,bowl]"
inside,compsvi15,box,pencil,pear,"[pear,box]*","[pear,box]"
inside,compsvu53,book,box,table,None,None
inside,compsvu23,book,box,pear,None,None
inside,compsvo67,table,box,balloon,None,None
inside,compsva25,bin,picture,table,None,None
inside,compsvu34,book (1),picture,table,None,None
inside,compsva23,book,box,balloon,None,None
inside,compsvu25,book,book (1),cube,None,None
inside,compsvu25,book,book (1),table,None,None
inside,compsvu25,book,cube,table,None,None
inside,compsva12,book,box,pear,None,None
inside,compsvi16,bowl,pear,pencil,"[pencil,bowl]","[pencil,bowl]"
inside,compsvu16,balloon,book,table,None,None
inside,compsva24,bin,picture,table,None,"[picture,bin]"
inside,compsvi36,mug,pencil,pear,None,"[pencil,mug]"
inside,compsvo24,table,pear,book,None,None
inside,compsva15,book,balloon,pear,None,None
inside,compsvi25,box,pencil,pencil (1),None,"[pencil,box]"
inside,compsvo69a,table,box,balloon,None,None
inside,compsvi12,table,pencil,cube,None,None
inside,compsvi12,table,pencil,cup,None,None
inside,compsvu63,book,box,table,None,None
inside,compsvi12,table,cube,cup,None,None
inside,compsvi26,cup,cube,pencil,None,None
inside,compsvi12,cup,pencil,cube,"[pencil,cup]*","[pencil,cup]"
inside,compsvo14v,board,jar,book,None,None
inside,compsvo18,table,box,book,None,None
inside,compsvo78,table,box,box (1),"[box (1),table]","[box (1),table]"
inside,compsvi3,mug,pencil,pear,None,"[pencil,mug]"
inside,compsvu67,balloon,box,table,None,None
inside,compsvu25a,balloon,box,table,None,None
inside,compsvi24a,cup,pear,cube,"[pear,cup]*","[pear,cup]"
inside,compsvi34,mug,pencil (1),pencil,None,"[pencil,mug]"
inside,compsva14,box,book,table,None,None
inside,compsvi45,mug,pencil,cup,"[pencil,mug]",None
inside,compsvu17,table,box,box (1),None,None
inside,compsvula,lamp,pencil,bowl,None,None
inside,compsvo89,table,box,box (1),None,None
inside,compsva13,book,pear,balloon,None,None
inside,compsvo68,table,box,balloon,None,None
inside,compsvo34v,board,jar,book,None,None
inside,compsvo28,table,box,book,None,None
inside,compsvi14a,bowl,cube,pear,"[cube,bowl]","[cube,bowl]"
inside,compsvo26,table,balloon,book,None,None
inside,compsvo27,table,box,book,None,"[box,table]"
inside,compsvo14,table,book (1),book,None,None
inside,compsvi23,table,box,box (1),"[box,table]","[box,table]"
inside,compsvo68a,table,box,balloon,None,None
against,compsvo12,table,book (1),box,"[box,table]*",None
against,compsvo12,table,book (1),book,None,None
against,compsvo12,table,box,book,"[box,table]*",None
against,compsvo29,table,box,book,"[box,table]",None
against,compsvo23v,board,jar,clock,"[jar,board]","[jar,board]"
against,compsvi13,mug,pencil (1),pencil,"[pencil,mug]","[pencil,mug]"
against,compsvo14a,table,box,book,None,None
against,compsvu15,balloon,book,table,None,None
against,compsvo16a,table,book,balloon,"[balloon,table]*","[balloon,table]"
against,compsvo13v,board,jar,book,"[jar,board]*","[jar,board]"
against,compsvu67a,balloon,box,table,None,None
against,compsvi46,bowl,ball,pencil,None,"[ball,bowl]"
against,compsvi26a,lamp,pencil,bowl,"[pencil,lamp]","[pencil,lamp]"
against,compsvul,lamp,pencil,bowl,"[pencil,lamp]","[pencil,lamp]"
against,compsvi24,cup,cube,pencil,"[cube,cup]*","[cube,cup]"
against,compsvo16,table,book,balloon,None,None
against,compsva34,bin,balloon,table,None,"[table,bin]"
against,compsvo19,table,box,book,"[box,table]","[box,table]"
against,compsvi14,bowl,ball,pencil,"[pencil,bowl]",None
against,compsvi15,box,pencil,pear,"[pencil,box]","[pear,box]"
against,compsvu53,book,box,table,None,None
against,compsvu23,book,box,pear,None,None
against,compsvo67,table,box,balloon,None,None
against,compsvu34,book (1),picture,table,None,"[picture,book (1)]"
against,compsva23,book,box,balloon,None,"[box,book]"
against,compsvu25,book,book (1),cube,"[book (1),book]*","[cube,book]"
against,compsvu25,book,book (1),table,"[book (1),book]*",None
against,compsvu25,book,cube,table,None,"[cube,book]"
against,compsva12,book,box,pear,None,"[pear,book]"
against,compsvi16,bowl,pear,pencil,None,"[pear,bowl]"
against,compsvu16,balloon,book,table,None,None
against,compsva24,bin,picture,table,None,"[picture,bin]"
against,compsvo17,table,box,book,None,None
against,compsvi36,mug,pencil,pear,None,"[pencil,mug]"
against,compsva15,book,balloon,pear,None,None
against,compsvo69a,table,box,balloon,None,"[balloon,table]"
against,compsvi12,table,pencil,cube,None,"[cube,table]"
against,compsvi12,table,pencil,cup,None,None
against,compsvu63,book,box,table,None,None
against,compsvi12,table,cube,cup,None,"[cube,table]"
against,compsvi26,cup,cube,pencil,"[cube,cup]*","[cube,cup]"
against,compsvi12,cup,pencil,cube,"[cube,cup]*","[cube,cup]"
against,compsvo14v,board,jar,book,None,None
against,compsvo18,table,box,book,"[box,table]*","[box,table]"
against,compsvo78,table,box,box (1),"[box,table]","[box,table]"
against,compsvi3,mug,pencil,pear,"[pencil,mug]","[pencil,mug]"
against,compsvu67,balloon,box,table,None,None
against,compsvi24a,cup,pear,cube,"[cube,cup]*","[cube,cup]"
against,compsvo12v,board,book,clock,"[clock,board]","[clock,board]"
against,compsvi34,mug,pencil (1),pencil,"[pencil,mug]","[pencil,mug]"
against,compsva14,box,book,table,None,None
against,compsvi45,mug,pencil,cup,None,"[pencil,mug]"
against,compsvu17,table,box,box (1),None,"[box (1),table]"
against,compsvula,lamp,pencil,bowl,"[pencil,lamp]","[pencil,lamp]"
against,compsvo89,table,box,box (1),"[box,table]*","[box,table]"
against,compsva13,book,pear,balloon,"[pear,book]",None
against,compsvo68,table,box,balloon,"[box,table]*","[box,table]*"
against,compsvo34v,board,jar,book,"[jar,board]*","[jar,board]"
against,compsvo28,table,box,book,"[box,table]*","[box,table]"
against,compsvi14a,bowl,cube,pear,"[cube,bowl]","[cube,bowl]"
against,compsvo26,table,balloon,book,None,"[book,table]"
against,compsvo27,table,box,book,None,None
against,compsvo14,table,book (1),book,None,None
against,compsvi23,table,box,box (1),None,"[box,table]"
against,compsvo68a,table,box,balloon,"[box,table]*","[box,table]"
against,compsvinew1,plate,cube,pencil,"[pencil,plate]","[pencil,plate]"
on,compsvo12,table,book (1),box,"[book (1),table]*","[book (1),table]"
on,compsvo12,table,book (1),book,"[book (1),table]",None
on,compsvo12,table,box,book,"[book,table]","[book,table]"
on,compsvo29,table,box,book,"[book,table]*","[book,table]"
on,compsvo23v,board,jar,clock,"[clock,board]*","[clock,board]"
on,compsvi13,mug,pencil (1),pencil,"[pencil,mug]",None
on,compsvo14a,table,box,book,"[box,table]","[box,table]"
on,compsvu15,balloon,book,table,None,None
on,compsvo16a,table,book,balloon,"[book,table]*","[book,table]"
on,compsvo13v,board,jar,book,"[book,board]*","[book,board]"
on,compsvu67a,balloon,box,table,None,None
on,compsvi46,bowl,ball,pencil,"[pencil,bowl]*","[pencil,bowl]"
on,compsvi26a,lamp,pencil,bowl,"[pencil,lamp]*","[pencil,lamp]"
on,compsvul,lamp,pencil,bowl,"[pencil,lamp]*","[pencil,lamp]"
on,compsvi24,cup,cube,pencil,"[pencil,cup]*","[pencil,cup]"
on,compsvo16,table,book,balloon,"[book,table]*","[book,table]"
on,compsvo79,table,box,box (1),None,None
on,compsvo19,table,box,book,"[book,table]*","[book,table]*"
on,compsvu56,balloon,box,table,None,None
