Preposition,Scene,Ground,Figure 1,Figure 2,Better Category Member,More Typical Configuration
on,compsvi14,bowl,ball,pencil,"[pencil,bowl]*","[pencil,bowl]"
on,compsvi15,box,pencil,pear,None,"[pear,box]"
on,compsvu53,book,box,table,None,None
on,compsvu23,book,box,pear,None,None
on,compsvo67,table,box,balloon,None,None
on,compsva25,bin,picture,table,"[picture,bin]*","[picture,bin]"
on,compsvu34,book (1),picture,table,None,None
on,compsva23,book,box,balloon,"[box,book]","[box,book]"
on,compsvo24v,board,jar,clock,"[clock,board]*","[clock,board]"
on,compsvu25,book,book (1),cube,"[book (1),book]","[book (1),book]"
on,compsvu25,book,book (1),table,"[book (1),book]","[book (1),book]"
on,compsvu25,book,cube,table,None,None
on,compsva12,book,box,pear,None,"[pear,book]"
on,compsvi16,bowl,pear,pencil,None,"[pencil,bowl]"
on,compsvu16,balloon,book,table,None,None
on,compsva24,bin,picture,table,"[picture,bin]","[picture,bin]"
on,compsvo17,table,box,book,"[book,table]*","[book,table]"
on,compsvi36,mug,pencil,pear,"[pencil,mug]","[pencil,mug]"
on,compsvo24,table,pear,book,None,"[book,table]"
on,compsva15,book,balloon,pear,"[pear,book]*","[pear,book]"
on,compsvi25,box,pencil,pencil (1),"[pencil (1),box]*","[pencil (1),box]"
on,compsvo69a,table,box,balloon,"[balloon,table]","[balloon,table]"
on,compsvi12,table,pencil,cube,"[cube,table]*",None
on,compsvi12,table,pencil,cup,"[cup,table]","[cup,table]"
on,compsvu63,book,box,table,None,None
on,compsvi12,table,cube,cup,None,"[cup,table]"
on,compsvi26,cup,cube,pencil,"[cube,cup]*","[cube,cup]"
on,compsvi12,cup,pencil,cube,"[cube,cup]","[pencil,cup]"
on,compsvo14v,board,jar,book,"[book,board]*","[book,board]"
on,compsvo18,table,box,book,"[book,table]*","[book,table]"
on,compsvo78,table,box,box (1),None,None
on,compsvi3,mug,pencil,pear,"[pencil,mug]","[pencil,mug]"
on,compsvu67,balloon,box,table,None,None
on,compsvu25a,balloon,box,table,None,None
on,compsvi24a,cup,pear,cube,None,"[pear,cup]"
on,compsvo12v,board,book,clock,"[clock,board]","[clock,board]"
on,compsvi34,mug,pencil (1),pencil,"[pencil (1),mug]","[pencil (1),mug]"
on,compsva14,box,book,table,"[book,box]*","[book,box]"
on,compsvi45,mug,pencil,cup,None,"[pencil,mug]"
on,compsvu17,table,box,box (1),None,None
on,compsvula,lamp,pencil,bowl,"[pencil,lamp]*","[pencil,lamp]"
on,compsvo89,table,box,box (1),None,None
on,compsva13,book,pear,balloon,"[pear,book]*","[pear,book]*"
on,compsvo68,table,box,balloon,None,None
on,compsvo34v,board,jar,book,"[jar,board]",None
on,compsvo28,table,box,book,"[book,table]*","[book,table]"
on,compsvi14a,bowl,cube,pear,"[pear,bowl]","[cube,bowl]"
on,compsvo26,table,balloon,book,"[book,table]*","[book,table]"
on,compsvo27,table,box,book,"[book,table]*","[book,table]"
on,compsvo14,table,book (1),book,None,"[book,table]"
on,compsvi23,table,box,box (1),None,"[box,table]"
on,compsvinew2,shelf,mug,box,"[mug,shelf]*","[mug,shelf]"
on,compsvo68a,table,box,balloon,None,"[balloon,table]"
on,compsvinew1,plate,cube,pencil,"[cube,plate]*","[cube,plate]"
on top of,compsvo12,table,book (1),box,"[book (1),table]*","[book (1),table]"
on top of,compsvo12,table,book (1),book,None,None
on top of,compsvo12,table,box,book,"[book,table]*","[book,table]"
on top of,compsvo29,table,box,book,"[book,table]*","[book,table]"
on top of,compsvo23v,board,jar,clock,None,None
on top of,compsvi13,mug,pencil (1),pencil,"[pencil (1),mug]",None
on top of,compsvo14a,table,box,book,"[box,table]*","[box,table]"
on top of,compsvu15,balloon,book,table,None,"[book,balloon]"
on top of,compsvo16a,table,book,balloon,"[book,table]*","[book,table]"
on top of,compsvo13v,board,jar,book,"[book,board]*","[book,board]"
on top of,compsvu67a,balloon,box,table,None,None
on top of,compsvi46,bowl,ball,pencil,"[pencil,bowl]*","[pencil,bowl]"
on top of,compsvi26a,lamp,pencil,bowl,"[pencil,lamp]","[pencil,lamp]"
on top of,compsvul,lamp,pencil,bowl,"[pencil,lamp]*","[pencil,lamp]"
on top of,compsvi24,cup,cube,pencil,"[pencil,cup]","[pencil,cup]"
on top of,compsvo16,table,book,balloon,"[book,table]","[book,table]*"
on top of,compsva34,bin,balloon,table,"[balloon,bin]",None
on top of,compsvo79,table,box,box (1),None,None
on top of,compsvo19,table,box,book,"[book,table]*","[book,table]"
on top of,compsvi14,bowl,ball,pencil,"[pencil,bowl]*","[pencil,bowl]"
on top of,compsvi15,box,pencil,pear,"[pencil,box]",None
on top of,compsvu53,book,box,table,None,None
on top of,compsvu23,book,box,pear,None,None
on top of,compsvo67,table,box,balloon,None,None
on top of,compsva25,bin,picture,table,"[picture,bin]*","[picture,bin]"
on top of,compsvu34,book (1),picture,table,None,None
on top of,compsva23,book,box,balloon,"[box,book]","[box,book]"
on top of,compsvo24v,board,jar,clock,None,"[clock,board]"
on top of,compsvu25,book,book (1),cube,None,"[book (1),book]"
on top of,compsvu25,book,book (1),table,None,"[book (1),book]"
on top of,compsvu25,book,cube,table,None,None
on top of,compsva12,book,box,pear,"[box,book]","[pear,book]"
on top of,compsvi16,bowl,pear,pencil,None,"[pencil,bowl]"
on top of,compsvu16,balloon,book,table,None,None
on top of,compsva24,bin,picture,table,"[picture,bin]*","[picture,bin]"
on top of,compsvo17,table,box,book,"[book,table]*","[book,table]"
on top of,compsvi36,mug,pencil,pear,None,"[pencil,mug]"
on top of,compsvo24,table,pear,book,"[book,table]",None
on top of,compsva15,book,balloon,pear,"[pear,book]*","[pear,book]"
on top of,compsvi25,box,pencil,pencil (1),"[pencil (1),box]",None
on top of,compsvo69a,table,box,balloon,"[balloon,table]",None
on top of,compsvi12,table,pencil,cube,"[cube,table]",None
on top of,compsvi12,table,pencil,cup,"[cup,table]","[cup,table]"
on top of,compsvu63,book,box,table,None,None
on top of,compsvi12,table,cube,cup,"[cup,table]","[cup,table]"
on top of,compsvi26,cup,cube,pencil,"[cube,cup]",None
on top of,compsvi12,cup,pencil,cube,"[cube,cup]","[pencil,cup]"
on top of,compsvo14v,board,jar,book,"[book,board]*","[book,board]"
on top of,compsvo18,table,box,book,"[book,table]*","[book,table]"
on top of,compsvo78,table,box,box (1),None,None
on top of,compsvi3,mug,pencil,pear,None,"[pencil,mug]"
on top of,compsvu67,balloon,box,table,None,None
on top of,compsvu25a,balloon,box,table,None,None
on top of,compsvi24a,cup,pear,cube,None,"[pear,cup]"
on top of,compsvo12v,board,book,clock,"[book,board]*","[book,board]"
on top of,compsvi34,mug,pencil (1),pencil,"[pencil (1),mug]","[pencil (1),mug]"
on top of,compsva14,box,book,table,"[book,box]*","[book,box]"
on top of,compsvi45,mug,pencil,cup,None,None
on top of,compsvu17,table,box,box (1),None,None
on top of,compsvula,lamp,pencil,bowl,"[pencil,lamp]",None
on top of,compsvo89,table,box,box (1),None,None
on top of,compsva13,book,pear,balloon,"[pear,book]","[pear,book]*"
on top of,compsvo68,table,box,balloon,None,None
on top of,compsvo34v,board,jar,book,"[book,board]",None
on top of,compsvo28,table,box,book,"[book,table]*","[book,table]"
on top of,compsvi14a,bowl,cube,pear,"[pear,bowl]","[pear,bowl]"
on top of,compsvo26,table,balloon,book,"[book,table]","[book,table]"
on top of,compsvo27,table,box,book,"[book,table]*","[book,table]"
on top of,compsvo14,table,book (1),book,None,"[book,table]"
on top of,compsvi23,table,box,box (1),None,"[box,table]"
on top of,compsvinew2,shelf,mug,box,"[mug,shelf]",None
on top of,compsvo68a,table,box,balloon,"[balloon,table]","[balloon,table]"
on top of,compsvinew1,plate,cube,pencil,"[cube,plate]","[cube,plate]"
under,compsvo12,table,book (1),box,"[box,table]*","[box,table]"
under,compsvo12,table,book (1),book,None,None
under,compsvo12,table,box,book,"[box,table]*","[box,table]"
under,compsvo29,table,box,book,None,None
under,compsvo23v,board,jar,clock,"[jar,board]*","[jar,board]"
under,compsvi13,mug,pencil (1),pencil,None,None
under,compsvo14a,table,box,book,None,None
under,compsvu15,balloon,book,table,"[table,balloon]","[book,balloon]"
under,compsvo16a,table,book,balloon,None,None
under,compsvu67a,balloon,box,table,None,"[table,balloon]"
under,compsvi46,bowl,ball,pencil,None,"[ball,bowl]"
under,compsvi26a,lamp,pencil,bowl,"[pencil,lamp]",None
under,compsvul,lamp,pencil,bowl,"[bowl,lamp]*","[bowl,lamp]"
under,compsvi24,cup,cube,pencil,None,"[cube,cup]"
under,compsvo16,table,book,balloon,None,None
under,compsva34,bin,balloon,table,None,None
under,compsvo79,table,box,box (1),"[box (1),table]*","[box (1),table]"
under,compsvo19,table,box,book,None,"[box,table]"
under,compsvu56,balloon,box,table,"[box,balloon]*","[box,balloon]"
under,compsvi14,bowl,ball,pencil,None,None
under,compsvi15,box,pencil,pear,None,None
under,compsvu53,book,box,table,"[table,book]","[box,book]"
under,compsvo67,table,box,balloon,"[box,table]*","[box,table]"
under,compsva25,bin,picture,table,None,None
under,compsvu34,book (1),picture,table,"[picture,book (1)]","[picture,book (1)]"
under,compsva23,book,box,balloon,None,None
under,compsvo24v,board,jar,clock,None,None
under,compsvu25,book,book (1),cube,"[cube,book]","[cube,book]"
under,compsvu25,book,book (1),table,"[table,book]",None
under,compsvu25,book,cube,table,None,"[cube,book]"
under,compsva12,book,box,pear,None,None
under,compsvi16,bowl,pear,pencil,None,None
under,compsvu16,balloon,book,table,"[table,balloon]","[table,balloon]"
under,compsva24,bin,picture,table,None,None
under,compsvo17,table,box,book,"[box,table]*","[box,table]"
under,compsvi36,mug,pencil,pear,None,None
under,compsvo24,table,pear,book,None,None
under,compsva15,book,balloon,pear,None,None
under,compsvi25,box,pencil,pencil (1),None,None
under,compsvo69a,table,box,balloon,None,"[box,table]"
under,compsvu63,book,box,table,"[table,book]*","[table,book]"
under,compsvi26,cup,cube,pencil,None,"[cube,cup]"
under,compsvi12,cup,pencil,cube,None,None
under,compsvo14v,board,jar,book,None,None
under,compsvo18,table,box,book,None,None
under,compsvo78,table,box,box (1),"[box (1),table]","[box (1),table]"
under,compsvi3,mug,pencil,pear,None,None
under,compsvu67,balloon,box,table,"[box,balloon]",None
under,compsvu25a,balloon,box,table,"[table,balloon]*","[table,balloon]"
under,compsvi24a,cup,pear,cube,None,None
under,compsvo12v,board,book,clock,None,None
under,compsvi34,mug,pencil (1),pencil,None,None
under,compsva14,box,book,table,None,None
under,compsvi45,mug,pencil,cup,None,None
under,compsvu17,table,box,box (1),"[box,table]","[box,table]"
under,compsvula,lamp,pencil,bowl,"[pencil,lamp]",None
under,compsvo89,table,box,box (1),None,None
under,compsva13,book,pear,balloon,None,None
under,compsvo68,table,box,balloon,None,"[box,table]"
under,compsvo34v,board,jar,book,"[jar,board]",None
under,compsvo28,table,box,book,None,"[box,table]"
under,compsvi14a,bowl,cube,pear,None,None
under,compsvo26,table,balloon,book,None,None
under,compsvo27,table,box,book,"[box,table]*","[box,table]"
under,compsvi23,table,box,box (1),None,"[box (1),table]*"
under,compsvinew2,shelf,mug,box,"[box,shelf]*","[box,shelf]"
under,compsvo68a,table,box,balloon,"[box,table]",None
under,compsvinew1,plate,cube,pencil,"[pencil,plate]","[pencil,plate]"
below,compsvo12,table,book (1),box,"[box,table]","[box,table]"
below,compsvo12,table,book (1),book,None,None
below,compsvo12,table,box,book,"[box,table]","[box,table]"
below,compsvo29,table,box,book,"[box,table]",None
below,compsvo23v,board,jar,clock,"[jar,board]*","[jar,board]"
below,compsvi13,mug,pencil (1),pencil,None,None
below,compsvo14a,table,box,book,None,None
below,compsvu15,balloon,book,table,"[book,balloon]","[book,balloon]"
below,compsvo16a,table,book,balloon,None,None
below,compsvo13v,board,jar,book,"[jar,board]",None
below,compsvu67a,balloon,box,table,"[table,balloon]","[table,balloon]"
below,compsvi46,bowl,ball,pencil,None,None
below,compsvi26a,lamp,pencil,bowl,"[pencil,lamp]","[bowl,lamp]"
below,compsvi24,cup,cube,pencil,None,"[cube,cup]"
below,compsvo16,table,book,balloon,None,None
below,compsva34,bin,balloon,table,None,None
below,compsvo79,table,box,box (1),"[box (1),table]*","[box (1),table]"
below,compsvo19,table,box,book,"[box,table]","[box,table]"
below,compsvu56,balloon,box,table,"[box,balloon]","[box,balloon]"
below,compsvi14,bowl,ball,pencil,None,None
below,compsvi15,box,pencil,pear,None,None
below,compsvu53,book,box,table,"[box,book]*","[box,book]"
below,compsvo67,table,box,balloon,"[box,table]*","[box,table]"
below,compsva25,bin,picture,table,None,None
below,compsvu34,book (1),picture,table,None,"[picture,book (1)]"
below,compsvo24v,board,jar,clock,"[jar,board]","[jar,board]"
below,compsvu25,book,book (1),cube,"[cube,book]","[cube,book]"
below,compsvu25,book,book (1),table,"[table,book]","[table,book]"
below,compsvu25,book,cube,table,None,None
below,compsva12,book,box,pear,None,None
below,compsvi16,bowl,pear,pencil,None,None
below,compsva24,bin,picture,table,None,None
below,compsvo17,table,box,book,"[box,table]","[box,table]"
below,compsvi36,mug,pencil,pear,None,None
below,compsvo24,table,pear,book,None,None
below,compsva15,book,balloon,pear,None,None
below,compsvo69a,table,box,balloon,"[box,table]","[box,table]"
below,compsvi12,table,pencil,cube,None,None
below,compsvi12,table,pencil,cup,None,None
below,compsvu63,book,box,table,None,"[box,book]"
below,compsvi12,table,cube,cup,None,None
below,compsvi26,cup,cube,pencil,None,"[cube,cup]"
below,compsvi12,cup,pencil,cube,None,None
below,compsvo14v,board,jar,book,None,"[jar,board]"
below,compsvo18,table,box,book,"[box,table]","[box,table]"
below,compsvo78,table,box,box (1),"[box (1),table]","[box (1),table]"
below,compsvi3,mug,pencil,pear,None,None
below,compsvu67,balloon,box,table,"[box,balloon]","[box,balloon]"
below,compsvu25a,balloon,box,table,"[table,balloon]","[table,balloon]"
below,compsvi24a,cup,pear,cube,None,None
below,compsvo12v,board,book,clock,None,None
below,compsvi34,mug,pencil (1),pencil,None,None
below,compsva14,box,book,table,None,None
below,compsvi45,mug,pencil,cup,"[pencil,mug]",None
below,compsvu17,table,box,box (1),"[box (1),table]","[box,table]"
below,compsvula,lamp,pencil,bowl,"[bowl,lamp]",None
below,compsvo89,table,box,box (1),None,None
below,compsva13,book,pear,balloon,None,None
below,compsvo68,table,box,balloon,None,None
below,compsvo34v,board,jar,book,"[jar,board]*",None
below,compsvo28,table,box,book,None,"[box,table]"
below,compsvi14a,bowl,cube,pear,None,None
below,compsvo26,table,balloon,book,None,None
below,compsvo27,table,box,book,"[box,table]","[box,table]"
below,compsvi23,table,box,box (1),None,"[box (1),table]*"
below,compsvinew2,shelf,mug,box,"[box,shelf]*","[box,shelf]"
below,compsvo68a,table,box,balloon,None,"[box,table]"
below,compsvinew1,plate,cube,pencil,"[pencil,plate]",None
over,compsvo12,table,book (1),box,"[book (1),table]",None
over,compsvo12,table,book (1),book,None,None
over,compsvo12,table,box,book,"[book,table]",None
over,compsvo23v,board,jar,clock,"[clock,board]",None
over,compsvi13,mug,pencil (1),pencil,None,None
over,compsvo14a,table,box,book,None,"[book,table]"
over,compsvu15,balloon,book,table,None,None
over,compsvo16a,table,book,balloon,"[balloon,table]","[balloon,table]"
over,compsvo13v,board,jar,book,"[book,board]",None
over,compsvu67a,balloon,box,table,None,None
over,compsvi46,bowl,ball,pencil,"[pencil,bowl]","[pencil,bowl]"
over,compsvi26a,lamp,pencil,bowl,None,None
over,compsvi24,cup,cube,pencil,None,"[pencil,cup]"
over,compsvo16,table,book,balloon,None,"[balloon,table]"
over,compsva34,bin,balloon,table,"[table,bin]","[table,bin]"
over,compsvo79,table,box,box (1),None,None
over,compsvo19,table,box,book,None,"[book,table]"
over,compsvu56,balloon,box,table,"[box,balloon]",None
over,compsvi14,bowl,ball,pencil,"[pencil,bowl]",None
over,compsvi15,box,pencil,pear,"[pencil,box]","[pencil,box]"
over,compsvu53,book,box,table,None,None
over,compsvu23,book,box,pear,None,None
over,compsvo67,table,box,balloon,"[balloon,table]",None
over,compsva25,bin,picture,table,None,None
over,compsvu34,book (1),picture,table,None,None
over,compsva23,book,box,balloon,"[balloon,book]","[balloon,book]"
over,compsvo24v,board,jar,clock,None,None
over,compsvu25,book,book (1),cube,None,"[book (1),book]"
over,compsvu25,book,book (1),table,None,"[book (1),book]"
