Preposition,Scene,Ground,Figure 1,Figure 2,Better Category Member,More Typical Configuration
against,compsvi15,box,pencil,pear,"[pencil,box]","[pear,box]"
against,compsvu25,book,book (1),cube,"[book (1),book]*","[cube,book]"
on,compsvi12,cup,pencil,cube,"[cube,cup]","[pencil,cup]"
on,compsvi14a,bowl,cube,pear,"[pear,bowl]","[cube,bowl]"
on top of,compsva12,book,box,pear,"[box,book]","[pear,book]"
on top of,compsvi12,cup,pencil,cube,"[cube,cup]","[pencil,cup]"
under,compsvu15,balloon,book,table,"[table,balloon]","[book,balloon]"
under,compsvu53,book,box,table,"[table,book]","[box,book]"
below,compsvi26a,lamp,pencil,bowl,"[pencil,lamp]","[bowl,lamp]"
below,compsvu17,table,box,box (1),"[box (1),table]","[box,table]"
over,compsva13,book,pear,balloon,"[pear,book]","[balloon,book]"
above,compsvo14a,table,box,book,"[book,table]","[box,table]"
above,compsva25,bin,picture,table,"[table,bin]","[picture,bin]"
above,compsva23,book,box,balloon,"[balloon,book]","[box,book]"
above,compsvi12,table,pencil,cup,"[pencil,table]","[cup,table]"
above,compsvi12,table,cube,cup,"[cube,table]","[cup,table]"
above,compsvi34,mug,pencil (1),pencil,"[pencil,mug]","[pencil (1),mug]"
above,compsva14,box,book,table,"[table,box]","[book,box]"
above,compsvo14,table,book (1),book,"[book (1),table]","[book,table]"
