,scene,figure,ground,Distinct Prototype,Shared Prototype,Baseline Model,KMeans Model,Refined Distinct Model,Median Distinct Model
0,compsva12,box,book,0.4295355322191364,0.4346394916293969,0.7643742082472078,0.5962425816322431,0.4216026178916189,0.35357846237335205
1,compsva12,box,table,0.4718544465941874,0.4616762502378684,0.8135459376996481,0.5984635259560774,0.4321495145544932,0.3898804087680953
2,compsva12,box,pear,0.033494255309696595,0.03052362497231789,0.2999612853921354,0.1217624655057495,0.17130843621307776,0.038928066499930865
3,compsva12,book,box,0.02827018722382482,0.02632399932083704,0.24648739381267434,0.015235238479061056,0.00837736070481057,0.0769587410971845
4,compsva12,book,table,0.6821548522828574,0.5935837985292118,0.8141438496413359,0.6859094834609705,0.6821548522828574,0.24845847036366528
5,compsva12,book,pear,0.02926026786116725,0.025198820660025302,0.2379288901314917,0.016488679772414215,0.00927092524769864,0.03321898036345786
6,compsva12,table,box,0.027697570818386426,0.024031347890963204,0.2337797170039225,0.01387464079081131,0.008071754495468465,0.03298714555470413
7,compsva12,table,book,0.028171158822981355,0.024327304184874964,0.2344448590170433,0.013968781389604805,0.008427008815260938,0.03286861807543893
8,compsva12,table,pear,0.027682285799192456,0.023909802370820875,0.2323127917089905,0.013862258435099726,0.008165812032215834,0.03270827983183202
9,compsva12,pear,box,0.029779418078641293,0.026766817451800862,0.2402603392442579,0.019925793596491125,0.010010299774364042,0.03325633290531162
10,compsva12,pear,book,0.4837780779107715,0.4667169581811717,0.6422777949055161,0.5264950709891477,0.4837780779107715,0.19003904404136296
11,compsva12,pear,table,0.47161620999252,0.4695744712221555,0.8222109160732578,0.5678281018719137,0.4374433316730227,0.3963171496274589
12,compsva13,balloon,book,0.16884402647818428,0.16844308669806685,0.2765262916057501,0.11339020143168813,0.16139753419125458,0.1536475196242411
13,compsva13,balloon,table,0.1824650512385155,0.1841590557474366,0.3013354049808933,0.11684770351277544,0.17109971084442085,0.17180333399050002
14,compsva13,balloon,pear,0.17152590313420635,0.17130849741558454,0.2801030942955197,0.11474363021780172,0.16348749558933814,0.1549598811207091
15,compsva13,book,balloon,0.02614433432882688,0.024123175415409256,0.2195495775327119,0.012830334749075828,0.007806888238035677,0.032030266532175306
16,compsva13,book,table,0.6948778057658233,0.5987760488716446,0.8278221917631305,0.6844087040104014,0.6948778057658233,0.6604748376143539
17,compsva13,book,pear,0.02794708901237251,0.02413410558404685,0.2343783688485433,0.01406327757045655,0.008307729740579094,0.032980101994775156
18,compsva13,table,balloon,0.027425634214956227,0.02375715095149613,0.2255500474444307,0.0133361950200209,0.008009041309954619,0.032838321933307164
19,compsva13,table,book,0.02816932084645633,0.0243263153067794,0.2344329277166004,0.013967299389053415,0.008426413795247152,0.032867565914369665
20,compsva13,table,pear,0.02761484303607404,0.02387374361683172,0.2315904908658531,0.013778407614824668,0.008117479009747937,0.032640954028641214
21,compsva13,pear,balloon,0.0262149327425589,0.024176268568106653,0.2206964320287831,0.012923598534272407,0.007837365196897508,0.03208275849479092
22,compsva13,pear,book,0.4461527028805074,0.4584622880448765,0.7663121265818491,0.5484819264027029,0.4361354480171236,0.3843799603209244
23,compsva13,pear,table,0.45162678267469897,0.4500953388599304,0.7830067428224061,0.5965447961835557,0.41925045274471656,0.3709118374820123
24,compsva14,box,book,0.028031638739333842,0.025182689979847475,0.2385505069855419,0.014025776365342808,0.00791372182799438,0.033970358880108215
25,compsva14,box,table,0.0222039454991458,0.020582145059149244,0.16613627827289884,0.015512124403918097,0.00901855439900368,0.023018410141451912
26,compsva14,book,box,0.4306948006224687,0.4297225281258584,0.7545991055606892,0.26313186176271314,0.4013172066810458,0.554547470060842
27,compsva14,book,table,0.02255745369556493,0.020783574085428608,0.17173494546188026,0.017117551514119148,0.009790118555888908,0.023031242952452187
28,compsva14,table,box,0.03147988035352014,0.02829682506187046,0.27601697795202945,0.119019119761136,0.1570822065940984,0.03743885840395413
29,compsva14,table,book,0.032193205322226234,0.02868414871359176,0.2892807755069277,0.11911415805246675,0.16539771826971295,0.03785751268452248
30,compsva15,balloon,book,0.18154326811639007,0.18295501441401693,0.2973417272632001,0.11813629008002367,0.1715538105400604,0.16634299083072634
31,compsva15,balloon,table,0.18177825093224875,0.18221827582555025,0.2991287684327245,0.11969350759639012,0.169987051951303,0.1707218499451826
32,compsva15,balloon,pear,0.17716666509159873,0.17807369100550924,0.28838348651872625,0.1157348885706817,0.1681789714008338,0.15811540010496186
33,compsva15,book,balloon,0.0275546741867169,0.025165913317262308,0.23513968755925066,0.01404066877275046,0.008059566964855115,0.0336863871271649
34,compsva15,book,table,0.6948736126301619,0.598775595420616,0.8278215190807046,0.6844027620505334,0.6948736126301619,0.6604754581507836
35,compsva15,book,pear,0.027947075673288555,0.024134096892168645,0.2343783017032161,0.014063272751186377,0.008307729133139811,0.03298008902132038
36,compsva15,table,balloon,0.02714793485021573,0.023625894580830344,0.2219022816681912,0.012942068585146377,0.00781379204084588,0.032713104183290605
37,compsva15,table,book,0.028169419763893137,0.02432637970979791,0.2344334181789581,0.013967334103113108,0.008426418369236598,0.0328676600215731
38,compsva15,table,pear,0.027614835728627232,0.02387373883799733,0.23159045395597305,0.013778405019706695,0.008117478685810227,0.03264094689330949
39,compsva15,pear,balloon,0.02653928955627529,0.02438804287058137,0.2265219734828424,0.013467298750760371,0.008041118904562845,0.03223225027758085
40,compsva15,pear,book,0.4467661815281473,0.4591996674219964,0.7681787451872818,0.5496270304331593,0.4362522369727335,0.38492465800963954
41,compsva15,pear,table,0.4500845223268677,0.4487538092745312,0.7789245700813765,0.5916476004697819,0.4190630943520087,0.368747878163597
42,compsva23,balloon,box,0.19088357490666413,0.19389965358302846,0.3133537607745815,0.12168392225689564,0.17840664573861706,0.17523089610715012
43,compsva23,balloon,book,0.18151966297380148,0.1829279187699061,0.2973000042492703,0.11812561615052936,0.17153536129405195,0.16631908131785078
44,compsva23,balloon,table,0.18177820952187668,0.18221821812900013,0.2991287160184465,0.1196935303868728,0.16998700688448834,0.17072180879812665
45,compsva23,box,balloon,0.028187563069459295,0.02518895461715265,0.2396311106348415,0.014389523536083566,0.008170153080361928,0.03401395849230078
46,compsva23,box,book,0.4234431763977056,0.4345286871211843,0.7619137572894252,0.5830619396770498,0.4153564478571381,0.09099144813097076
47,compsva23,box,table,0.4694861407269722,0.4593261957283483,0.8085672801094517,0.592688233799728,0.4308248447081732,0.3867315683102887
48,compsva23,book,balloon,0.02755940669204199,0.0251704657425708,0.2351892951163486,0.014042326124263557,0.00806001020606978,0.03369436537112584
49,compsva23,book,box,0.028620240447297995,0.026576598262531427,0.24683090656551626,0.016086732082393067,0.008636427112586506,0.07943043792298021
50,compsva23,book,table,0.6774039869867403,0.5863548692663977,0.8104461993138724,0.6777098253580022,0.6774039869867403,0.250784932206922
51,compsva23,table,balloon,0.02714792597702403,0.02362588305499846,0.221902035786866,0.012942049818329436,0.007813788698834166,0.032713081719143444
52,compsva23,table,box,0.02768735020818016,0.024027803432617,0.2336619557383021,0.01386016780640804,0.008062929613935947,0.03298535089690337
53,compsva23,table,book,0.02817141942078574,0.02432755199288832,0.2344419088024368,0.013969171949638851,0.008426631742500803,0.03286939754339651
54,compsva24,picture,bin,0.39573116793044105,0.3977360839874041,0.6931348232899837,0.5355705240140082,0.4027129532228396,0.3352771512902326
55,compsva24,picture,table,0.0265005887243412,0.02432925381283178,0.20619728963561115,0.020896345066475905,0.01010794508869868,0.027928388903586614
56,compsva24,bin,picture,0.034215636932175525,0.06854862835205425,0.25735415223712954,0.015488720819019747,0.034215636932175525,0.08094698543602595
57,compsva24,bin,table,0.02378391043055245,0.021731960171105014,0.18118975253016634,0.01840738156358246,0.009982008070494857,0.0243818714602928
58,compsva24,table,picture,0.03327107460245647,0.02993853215732652,0.2978623622135054,0.12082119105008672,0.16890602713135214,0.03886395724801369
59,compsva24,table,bin,0.03276796230032624,0.02910674721741498,0.2939445940053889,0.11847424531987225,0.16851851263179668,0.0380801168475554
60,compsva25,picture,bin,0.05702307101007367,0.04820469390484481,0.6395269440386723,0.5495931541803012,0.3516111774353723,0.07445318140518446
61,compsva25,picture,table,0.029301942123578343,0.02642824310399676,0.2369754664242971,0.01867846535609799,0.009641377764409324,0.03310376716927247
62,compsva25,bin,picture,0.03609864694652275,0.06913100950122232,0.2540096992696233,0.015522596080606159,0.03609864694652275,0.08760689533695558
63,compsva25,bin,table,0.028788496113981987,0.02619324466040677,0.23769735561459115,0.017233153729441248,0.009495154989299405,0.033017450346605096
64,compsva25,table,picture,0.03194754391232678,0.029836937331304006,0.2892512698765883,0.12184834547461765,0.16617154503744305,0.0378627258027262
65,compsva25,table,bin,0.03183637703849011,0.029896851887699662,0.2891468949006666,0.12198089861126225,0.16702295378701915,0.03759135269186009
66,compsva34,balloon,bin,0.17553106381079756,0.17699351601502414,0.2918058391473341,0.11399404037103485,0.16703378391656615,0.16640415436093553
67,compsva34,balloon,table,0.18850780869752348,0.18900393120215714,0.3080316566530786,0.125217240139914,0.1746911789972933,0.1741272360183246
68,compsva34,bin,balloon,0.027543654440668933,0.025075161318185456,0.2306640465459425,0.013600458225087757,0.007973027572129915,0.03373457916261641
69,compsva34,bin,table,0.022978150341775642,0.021110972875290453,0.17360998828460478,0.017308913832816072,0.009720575767460831,0.023403066753630367
70,compsva34,table,balloon,0.027541377741883283,0.024094139896759115,0.22964808672940665,0.013504496047369802,0.00790817175100131,0.032899359456356005
71,compsva34,table,bin,0.0338214994101217,0.02976060735845752,0.2983847637521922,0.12452338730097348,0.1671672054636886,0.03921531503107509
72,compsvi12,pencil,cup,0.048705638299982285,0.08881667991823895,0.527697616311742,0.3928831567116508,0.048705638299982285,0.16802805685298836
73,compsvi12,pencil,table,0.4489255798556677,0.4542285741441419,0.7976082308634318,0.5755523614724121,0.4209778560806629,0.39219283562978674
74,compsvi12,pencil,cube,0.0348022768165358,0.03217118676448899,0.3115168896034696,0.12542709169586785,0.1722009068067225,0.04050772464439137
75,compsvi12,cup,pencil,0.03083764216132812,0.0266808524594376,0.253563675679008,0.019812275846805883,0.009689392985531032,0.03501739517382058
76,compsvi12,cup,table,0.4609133209604751,0.4766549949281669,0.8258879084218016,0.5732487551469638,0.4356519761510365,0.39831791679686723
77,compsvi12,cup,cube,0.035295325534914324,0.03158770109079355,0.3020461644327999,0.015295702353621472,0.009430934994327558,0.040460728806942424
78,compsvi12,table,pencil,0.027703141292577886,0.02387731343753701,0.2315583023787435,0.01386011740372913,0.008224812128904442,0.03268062171424682
79,compsvi12,table,cup,0.027813319252170333,0.023949259760703404,0.2325866922680688,0.013931495369334416,0.00826103010668628,0.03277863615951173
80,compsvi12,table,cube,0.027766469650460184,0.02392049929230089,0.2322837487039345,0.013904411002148056,0.008239818343927095,0.03272006646103365
81,compsvi12,cube,pencil,0.0299231340365778,0.026853280257830348,0.250186096001396,0.015350554797917778,0.008825802137352604,0.03510871357169378
82,compsvi12,cube,cup,0.045294163438656776,0.07297302089094754,0.3037867877356721,0.027784273732041467,0.045294163438656776,0.10883435838101442
83,compsvi12,cube,table,0.4565032007475617,0.4939917040462677,0.8484584291944837,0.6526099757658779,0.4221491157005541,0.588380694527864
84,compsvi13,table,pencil (1),0.02772164699452713,0.023912098945624537,0.2325516204070269,0.013900377823530851,0.00821862826598485,0.032695297316809126
85,compsvi13,table,pencil,0.028170029423747838,0.02422232142601007,0.2328382110537433,0.013951443953280442,0.008535174703442202,0.03268085899031443
86,compsvi13,table,mug,0.028196649825910858,0.024261767311005097,0.2337512934832588,0.013992500722072093,0.0085354712579761,0.032723065108077126
87,compsvi13,pencil (1),table,0.4600905607138264,0.4654054330830474,0.8151771223305256,0.5607079266183682,0.4296477324488935,0.3842591403044978
88,compsvi13,pencil (1),pencil,0.033801434060723695,0.030894258989161507,0.2974054364886816,0.014482587707052625,0.009180417263254569,0.03942041517063418
89,compsvi13,pencil (1),mug,0.048971344402718525,0.08418688449311527,0.4526716279059663,0.022503939537606352,0.048971344402718525,0.1471049967631836
90,compsvi13,pencil,table,0.4661310579600187,0.4940148690631354,0.8459523723929603,0.6280753343587798,0.4394136864267565,0.3814583361790462
91,compsvi13,pencil,pencil (1),0.029857553012823036,0.0265795211773898,0.2413422807305733,0.017653789873997894,0.009812659301979963,0.033647062848095474
92,compsvi13,pencil,mug,0.04177418986977214,0.036528357851503664,0.3654554967192412,0.026898839257418358,0.012814132968272269,0.0473809065975375
93,compsvi13,mug,table,0.4714542807571527,0.5039140828484079,0.8605336728817108,0.6653513361944063,0.4370062698175787,0.6033977671998053
94,compsvi13,mug,pencil (1),0.028857441184960413,0.02459231959068042,0.22493020868595368,0.02018056138759524,0.009946339275894046,0.03129733994454199
95,compsvi13,mug,pencil,0.03257190655882275,0.02939806972328306,0.2829379554956542,0.015061804282232022,0.009368836041395214,0.0377049465279773
96,compsvi14,bowl,ball,0.02952152838532392,0.025560915416376544,0.2353833310626396,0.0183210659944102,0.009937393120134691,0.032638513869818336
97,compsvi14,bowl,table,0.4697837392137708,0.4899014793227148,0.8481996473900093,0.6281726183197824,0.4419134514727636,0.3933674997641115
98,compsvi14,bowl,pencil,0.028512956572058226,0.02560940390505101,0.2441452856396437,0.014959802757906497,0.008349545527790162,0.034175625134336286
