,scene,figure,ground,Distinct Prototype,Shared Prototype,Baseline Model,KMeans Model,Refined Distinct Model,Median Distinct Model
0,compsva12,box,book,0.10910226366917307,0.10310013269795393,0.3037038640075949,0.0251161410650773,0.10901464539358996,0.148307908167393
1,compsva12,box,table,0.10844788252096156,0.10201957532445123,0.2980711811974444,0.02306940774791458,0.08996539975099478,0.25662762435081055
2,compsva12,box,pear,0.05323046852856257,0.0455884294841621,0.3617649217761394,0.09015926387382148,0.05517574998296623,0.05085428677890569
3,compsva12,book,box,0.04993359194329455,0.04399955238101915,0.35490108062136577,0.07652228941300096,0.11104967127536347,0.1467799892402465
4,compsva12,book,table,0.024274443731823258,0.08474769497701981,0.31420661448681697,0.02181799235775628,0.07457373811348593,0.03908371805421606
5,compsva12,book,pear,0.051266015102116806,0.044000604340828565,0.4301175791497597,0.0985094030135454,0.13789427209856026,0.05122233286374186
6,compsva12,table,box,0.045089125227072514,0.038037036794936765,0.3072496965122709,0.07049239053471451,0.04723852493276988,0.04566115879743453
7,compsva12,table,book,0.04668820120661756,0.039276552966382994,0.340154863537568,0.07953812930342878,0.04896117203485079,0.04831704337762216
8,compsva12,table,pear,0.04492975923444285,0.037735457510255366,0.30540957346171305,0.07129642702456368,0.04707464132627329,0.044160898790393324
9,compsva12,pear,box,0.20258729262037287,0.20651842706706355,0.7438437567968308,0.44353990953459416,0.06399579883609942,0.059545233217603154
10,compsva12,pear,book,0.0,0.16698327220952555,0.28856349194304104,0.017674057865622806,0.11395041966873712,0.19716704086718562
11,compsva12,pear,table,0.10813390450210847,0.10253280826669836,0.2999711996968107,0.02337628019993237,0.08702292499805647,0.03827903753536268
12,compsva13,balloon,book,0.045576804782325335,0.03791687762924481,0.28232564356211515,0.013326596273147395,0.047029301295076535,0.043305125262003044
13,compsva13,balloon,table,0.041567323497155036,0.037425394894988064,0.267270352067769,0.01621671074252399,0.043281276313152095,0.039850275818019656
14,compsva13,balloon,pear,0.0466350120452474,0.03863113372184595,0.2843349192476021,0.013490483184752024,0.048100573256024966,0.043994819871970646
15,compsva13,book,balloon,0.05142247948395296,0.039959083993769455,0.3372403359067573,0.08063369574922237,0.053666119176766884,0.04558290917620776
16,compsva13,book,table,0.02402180064342016,0.08433043665423078,0.300541491921347,0.021626926025577205,0.0728898526761593,0.03877527130309333
17,compsva13,book,pear,0.0,0.17991172225278104,0.31090512317668856,0.07271817513820925,0.10867492977896692,0.139572143110991
18,compsva13,table,balloon,0.04179185378316996,0.035572042318572264,0.30083602032328205,0.0698190100103606,0.04368388822176357,0.04084129010893966
19,compsva13,table,book,0.0466862689803926,0.03927003343233622,0.34010638839506113,0.07953025500312963,0.04895787738205524,0.048313681047596056
20,compsva13,table,pear,0.04485229246604091,0.037633758668526585,0.3050316318570961,0.07098429427446748,0.04695848504853711,0.044775213132411625
21,compsva13,pear,balloon,0.051915939859706516,0.04025922683654819,0.3388479089021298,0.08120775590956468,0.054182988587726716,0.04573787670550572
22,compsva13,pear,book,0.12516765286428047,0.11390056070250773,0.2954224674899806,0.0217273796581032,0.12001169616521293,0.15762581253766392
23,compsva13,pear,table,0.10719955960643401,0.10043818082257536,0.2956590239465088,0.022699629604390297,0.0889556892866715,0.2536421225618608
24,compsva14,box,book,0.04966226751771773,0.042062852392074135,0.3242792029686302,0.07089548937690307,0.052182136275303,0.048327986366189485
25,compsva14,box,table,0.04454564643709418,0.04349627718370775,0.3563947336550699,0.024760536853441328,0.048558332237381215,0.03915684652898783
26,compsva14,book,box,0.10378788905534844,0.10587278424457526,0.30275350884993835,0.02169775662529248,0.08455593883189877,0.039468094618143344
27,compsva14,book,table,0.0454005051240741,0.04408443078409943,0.4028403268319232,0.0326793427654558,0.05001558191814515,0.037953849594782076
28,compsva14,table,box,0.042713672594731016,0.03767490417120226,0.2787599759895441,0.12394119827231748,0.04404577151013666,0.048910054681637685
29,compsva14,table,book,0.043256690272524434,0.03760751062134084,0.3024439017760734,0.07361976735225488,0.04478614815605849,0.04641543162401836
30,compsva15,balloon,book,0.046321990372169684,0.03979114328628941,0.2879253247538513,0.016328622863960654,0.04782097568823125,0.04254095384518009
31,compsva15,balloon,table,0.04156421261817953,0.037387449780344716,0.2660260677728167,0.015384337645139056,0.04321228271660673,0.04169492602978859
32,compsva15,balloon,pear,0.04896497815712998,0.04019719109384751,0.28823098852034834,0.014130440556018737,0.050508491423019504,0.04406214112343611
33,compsva15,book,balloon,0.052875085242924766,0.042499673864190256,0.3480640710287863,0.08095344472002801,0.055336832911237324,0.0445465877946157
34,compsva15,book,table,0.024021821130556256,0.08433034422954212,0.3005407933206569,0.021626896596729603,0.07288980614917925,0.038775377205899034
35,compsva15,book,pear,0.0,0.17991154163225434,0.3109048110466817,0.07271813844686709,0.10867491432177492,0.13957210690703678
36,compsva15,table,balloon,0.040953968614614526,0.03492356182915072,0.2975648775010019,0.06791792445577592,0.04274005305258606,0.04197161030043347
37,compsva15,table,book,0.046686246038769225,0.03927033052764056,0.3401090894073225,0.07953057900435108,0.04895786401873955,0.0483138624866485
38,compsva15,table,pear,0.04485229405189008,0.03763373789696047,0.3050314628206531,0.07098427464516435,0.0469584859697078,0.04477520152476419
39,compsva15,pear,balloon,0.05540430936803093,0.04212409560400061,0.3446110644461854,0.08407452394912479,0.05781864424838935,0.04596559079444853
40,compsva15,pear,book,0.12543667839925846,0.11406613938822595,0.2958187035290633,0.02181822376056958,0.12001589301334414,0.15765572792001087
41,compsva15,pear,table,0.10647522540270003,0.09970214599065737,0.2941017116826918,0.02248299865489041,0.0884269717287422,0.2524689441469758
42,compsva23,balloon,box,0.0,0.16235031612709178,0.2805572888816449,0.017754087608681066,0.12039406790946902,0.12284329000569869
43,compsva23,balloon,book,0.04632802156286738,0.03979169920327332,0.28794957624207096,0.016323715625559763,0.047826850619005976,0.04254333840572702
44,compsva23,balloon,table,0.04156422473614172,0.037387451368285717,0.2660260090531011,0.015384307026919803,0.04321229603092302,0.04169495032207922
45,compsva23,box,balloon,0.0,0.19176463858977025,0.3313881265497366,0.07552050019726382,0.10784924309527208,0.13976986357465346
