,scene,figure,ground,Distinct Prototype,Shared Prototype,Baseline Model,KMeans Model,Refined Distinct Model,Refined Shared Model,Median Distinct Model,Median Shared Model
0,compsva12,box,book,0.08670332646663242,0.0930902688997904,0.4884439738362938,0.05392647468009161,0.13261888092509158,0.2229882516969656,0.07475572069115616,0.07303774553779456
1,compsva12,box,table,0.08708035729031678,0.09216202778920272,0.4626424498576176,0.06246389132355056,0.09046740214002744,0.08274020622022871,0.09974286482156994,0.13226415592681995
2,compsva12,box,pear,0.08417723923421587,0.11046442274340497,0.5907415324777046,0.10904058053995504,0.09508024197359252,0.10059852013203327,0.09134305300942995,0.07379078358191211
3,compsva12,book,box,0.006986047056576193,0.009419234400848638,0.2882852668981392,0.006236244113327372,0.007075611762429735,0.0099215935688939,0.04418640671078966,0.0446927731106207
4,compsva12,book,table,0.08310139267566906,0.0895312065814422,0.4240395297765678,0.05674104599298097,0.08677558845682821,0.08039987369830474,0.0356220123374147,0.026534844543212945
5,compsva12,book,pear,0.007137796430848739,0.015839876750350458,0.2986120306507954,0.06066549603076232,0.0063447079385322135,0.01407989044475597,0.053842385019502774,0.04402180496271435
6,compsva12,table,box,0.00745673078151448,0.01511902196280483,0.2767222809897576,0.05543531762447186,0.006628205139123981,0.013439130633604295,0.05182250931467556,0.04120410608721821
7,compsva12,table,book,0.007380426889666863,0.015372971551675685,0.2851465648250734,0.05769990371963728,0.006560379457481655,0.013664863601489498,0.05368423175092659,0.04188736088259353
8,compsva12,table,pear,0.007468448133379845,0.01510628325340518,0.2753637007480007,0.0553460581749533,0.006638620563004307,0.013427807336360158,0.051766729782721614,0.040423620739861325
9,compsva12,pear,box,0.006644560150122726,0.009239698029187051,0.2944890860322506,0.007335041823236723,0.006729746818714044,0.009732481924077031,0.023125935362230263,0.019689971076480232
10,compsva12,pear,book,0.08253919815569769,0.08917625046813317,0.4394889401354352,0.05084592810866378,0.08667638132614623,0.08031342071570892,0.035710723375874824,0.026541583290534115
11,compsva12,pear,table,0.08792843060241058,0.09293715687776688,0.467986321107288,0.06175703435313085,0.09129329356403283,0.08324690179440339,0.10178153060536702,0.1341766960142493
12,compsva13,balloon,book,0.09971846217789447,0.12657737438680386,0.6295791552738179,0.28489913664044464,0.1147096354228886,0.1141941712799415,0.14105151777624517,0.16430741100744878
13,compsva13,balloon,table,0.10387376457482826,0.13103179065181958,0.674060842999002,0.3307066139034906,0.11670593292567075,0.11773481740274486,0.1654103559402637,0.17718749075795684
14,compsva13,balloon,pear,0.10047717120508397,0.12833908077299758,0.6332013605221479,0.28699739260638,0.11559520970082557,0.11586022719294893,0.14147535862515312,0.1674909495161783
15,compsva13,book,balloon,0.005789168363114031,0.009158938068549964,0.2724319195414415,0.05171904912101642,0.005863388470333442,0.009647414765539295,0.02167784852803812,0.018603750450168263
16,compsva13,book,table,0.08574979038071055,0.09116667875739352,0.43184589570664017,0.05693364755868297,0.08922772498339446,0.08181934290333466,0.03635860205697642,0.02689260583224795
17,compsva13,book,pear,0.007473901230236624,0.01509068935125227,0.27733468318351,0.055577607314765735,0.006643467760210332,0.013413946090002016,0.05192695791862409,0.040893474661782864
18,compsva13,table,balloon,0.007382765095580852,0.015010217503740991,0.2755614299610884,0.05545103720210017,0.006562457862738534,0.013342415558880879,0.051707676144649446,0.04099953418719717
19,compsva13,table,book,0.007380274194148933,0.015373486740651272,0.2851532797749495,0.05770263311799874,0.0065602437281323854,0.013665321547245576,0.05368730053825551,0.04188896543668375
