,scene,figure,ground,Distinct Prototype,Shared Prototype,Baseline Model,KMeans Model,Refined Distinct Model,Median Distinct Model
0,compsva12,box,book,0.2629699393163087,0.2878757820806213,0.5636187038673688,0.19117132884575067,0.2629699393163087,0.06538430413459118
1,compsva12,box,table,0.25626872337955603,0.2820218026206233,0.5469008102771458,0.1978146396184305,0.25626872337955603,0.385822105019715
2,compsva12,box,pear,0.2822331687878819,0.2576392354980949,0.4994980686261225,0.08208229585013557,0.2822331687878819,0.051165565148980095
3,compsva12,book,box,0.007301869110317946,0.008658999085087665,0.20396735425802984,0.03235090443178353,0.007301869110317946,0.02939588912529882
4,compsva12,book,table,0.2427299848164857,0.26437495653014204,0.5058798158360355,0.07470960447923564,0.24272998481648575,0.0489476535446546
5,compsva12,book,pear,0.006687015860041343,0.008879270556770433,0.21706496624021607,0.03712504172673478,0.006687015860041343,0.03008883135770102
6,compsva12,table,box,0.006305986707949296,0.008348906339219682,0.1971909471774483,0.032336476963933686,0.006305986707949296,0.03697575037098977
7,compsva12,table,book,0.006332725832274796,0.008522273791014267,0.20524645195858449,0.034329289914095194,0.006332725832274796,0.03660088673480197
8,compsva12,table,pear,0.006199093057559998,0.00825312010360897,0.19678118930986094,0.03227952514227578,0.006199093057559998,0.028280349832574103
9,compsva12,pear,box,0.006766284068801772,0.009060082143846564,0.22366152111419307,0.03600477725027345,0.006766284068801772,0.032240830777521684
10,compsva12,pear,book,0.2460499808635617,0.2653233748955692,0.5145406102001193,0.06819682250129731,0.2460499808635617,0.0592404441293141
11,compsva12,pear,table,0.263530489523009,0.2903081544776417,0.5680394281487597,0.19494915159738407,0.263530489523009,0.282960660687805
12,compsva13,balloon,book,0.3365282516578121,0.3012390797368145,0.5696163035018802,0.7515500943372518,0.3365282516578121,0.3812701518909008
13,compsva13,balloon,table,0.3462388272190455,0.3100982385208848,0.5980099980691502,0.8310702062928877,0.3462388272190455,0.32621968125713285
14,compsva13,balloon,pear,0.3394192099623156,0.303529547056906,0.5747953583644037,0.7589130949694717,0.3394192099623156,0.3839574836755108
15,compsva13,book,balloon,0.006268141862401196,0.008195072857406898,0.1955537792245509,0.031063858442334974,0.006268141862401196,0.03585922913989788
16,compsva13,book,table,0.24864012045621264,0.2725362074611284,0.5207138819571541,0.07185759592251316,0.24864012045621264,0.04926202038701405
17,compsva13,book,pear,0.012804297996548152,0.017841818206377615,0.1981627341837061,0.03254032315512192,0.012804297996548152,0.028555355532423603
18,compsva13,table,balloon,0.00622685638303728,0.008286763656983439,0.19578104091717846,0.03170818713114144,0.00622685638303728,0.02817585884558331
19,compsva13,table,book,0.0063330204100127355,0.008522318241340828,0.2052469477762084,0.03432936208043204,0.0063330204100127355,0.036602309831511935
20,compsva13,table,pear,0.006221108638054257,0.008250884924553158,0.1967689420936184,0.03229824414548639,0.0062211086380542565,0.028176806460396716
21,compsva13,pear,balloon,0.006262382013335637,0.008202960073730576,0.19581959103047844,0.031118246886279226,0.006262382013335637,0.0358274803845234
22,compsva13,pear,book,0.1295600912184441,0.1808902822016168,0.5711954360139152,0.18111964231401173,0.1295600912184441,0.06407912553622677
23,compsva13,pear,table,0.26185578298537393,0.2868268558242931,0.5492396727251165,0.2014461196671736,0.26185578298537393,0.27074924885965856
24,compsva14,box,book,0.006612932081221935,0.008585447157494333,0.19954020734206307,0.032175826716482774,0.006612932081221935,0.03871915620248692
25,compsva14,box,table,0.007005993222951364,0.007136704180189637,0.19368930991270408,0.03021697841120888,0.007005993222951364,0.024359988135986037
