,Best Guess,Conceptual Space,Exemplar,Proximity,Simple
p_value,7.64027440465846e-11,4.1083382919372717e-53,1.47417413997649e-48,6.223015277861142e-61,1.3543601340826748e-14
Our model wins,145.0,196.0,193.0,200.0,153.0
Other model wins,52.0,4.0,6.0,0.0,44.0
