Task: sv_mod,Number of Native English users: 30
Preposition,Number of Shared Annotations,Average Expected agreement,Average observed Agreement,Average cohens_kappa
in,859,0.6364377182770662,0.7508731082654249,0.546870669105826
inside,859,0.7801319363601084,0.8579743888242142,0.6988676050375701
against,859,0.7411719053162593,0.8137369033760187,0.6391152502910361
on,859,0.6366317423360496,0.7823050058207218,0.5807860746161094
on top of,859,0.6936748156771441,0.7986030267753201,0.6197849104717557
under,859,0.7448583624369421,0.910360884749709,0.8030267753201397
below,859,0.7671711292200232,0.8463329452852154,0.6868451688009313
over,859,0.7298409002716337,0.8393480791618161,0.6684516880093131
above,859,0.6704695382227397,0.7625145518044237,0.5566938300349243
Total Number of Shared Annotations,Average Expected Agreements,Average observed agreements,Average Cohens Kappa
7731,0.711154227568663,0.8180054326736516,0.6444935524097339
