Preposition,Configuration 1,Configuration 2,Typicality Scores,Object-Specific Features,Better Category Member,More Typical Configuration
in,"[box,table]","[pencil,mug]","[0.0086],[0.0171]","[],[Ground is container]","[pencil,mug]*","[pencil,mug]*"
in,"[box,table]","[cube,shelf]","[0.0086],[0.0086]","[],[]","[box,table]","[cube,shelf]"
in,"[box,table]","[pear,bowl]","[0.0086],[0.0147]","[],[Ground is container]","[pear,bowl]","[pear,bowl]"
in,"[pencil,mug]","[cube,shelf]","[0.0171],[0.0086]","[Ground is container],[]","[pencil,mug]*","[pencil,mug]*"
in,"[pencil,mug]","[pear,bowl]","[0.0171],[0.0147]","[Ground is container],[Ground is container]","[pencil,mug]*","[pencil,mug]*"
in,"[cube,shelf]","[pear,bowl]","[0.0086],[0.0147]","[],[Ground is container]","[pear,bowl]","[pear,bowl]"
inside,"[box,table]","[pencil,mug]","[0.0603],[0.0317]","[],[Ground is container]","[pencil,mug]","[pencil,mug]*"
inside,"[box,table]","[cube,shelf]","[0.0603],[0.0701]","[],[]","[box,table]","[cube,shelf]"
inside,"[box,table]","[pear,bowl]","[0.0603],[0.021]","[],[Ground is container]","[box,table]","[box,table]*"
inside,"[pencil,mug]","[cube,shelf]","[0.0317],[0.0701]","[Ground is container],[]","[pencil,mug]","[pencil,mug]*"
inside,"[pencil,mug]","[pear,bowl]","[0.0317],[0.021]","[Ground is container],[Ground is container]","[pencil,mug]*","[pencil,mug]*"
inside,"[cube,shelf]","[pear,bowl]","[0.0701],[0.021]","[],[Ground is container]",None,"[pear,bowl]"
against,"[table,box]","[box,table]","[0.0528],[0.0636]","[],[Fixed ground. Mobile Figure]","[table,box]","[box,table]*"
on,"[spoon,plate]","[clock,board]","[0.0604],[0.141]","[Ground is flat container],[Ground is larger than figure]","[spoon,plate]","[spoon,plate]"
on,"[spoon,plate]","[mug,pencil]","[0.0604],[0.0401]","[Ground is flat container],[Ground is smaller than figure]","[spoon,plate]","[mug,pencil]"
on,"[spoon,plate]","[pear,bowl]","[0.0604],[0.0409]","[Ground is flat container],[Ground is convex container]","[spoon,plate]*","[spoon,plate]*"
on,"[clock,board]","[mug,pencil]","[0.141],[0.0401]","[Ground is larger than figure],[Ground is smaller than figure]","[mug,pencil]","[mug,pencil]"
on,"[clock,board]","[pear,bowl]","[0.141],[0.0409]","[Ground is larger than figure],[Ground is convex container]","[clock,board]*","[clock,board]*"
on,"[mug,pencil]","[pear,bowl]","[0.0401],[0.0409]","[Ground is smaller than figure],[Ground is convex container]","[mug,pencil]*","[mug,pencil]*"
on top of,"[spoon,plate]","[clock,board]","[0.0548],[0.0606]","[Ground is flat container],[Ground is larger than figure]","[spoon,plate]*","[spoon,plate]*"
on top of,"[spoon,plate]","[mug,pencil]","[0.0548],[0.0342]","[Ground is flat container],[Ground is smaller than figure]","[mug,pencil]","[mug,pencil]"
on top of,"[spoon,plate]","[pear,bowl]","[0.0548],[0.0341]","[Ground is flat container],[Ground is convex container]","[spoon,plate]*","[spoon,plate]*"
