Scene1,Figure1,Ground1,Scene2,Figure2,Ground2,number of comparisons,c1 selected,c2 selected,p_value_one_tail
sv_modtypi3,box,table,sv_modtypi4,pencil,mug,12,2,10,0.996826171875
sv_modtypi3,box,table,sv_modtypi1,cube,shelf,10,4,5,0.828125
sv_modtypi3,box,table,sv_modtypi2,pear,bowl,9,7,1,0.08984375
sv_modtypi4,pencil,mug,sv_modtypi3,box,table,12,10,2,0.019287109375
sv_modtypi4,pencil,mug,sv_modtypi1,cube,shelf,14,14,0,6.103515625e-05
sv_modtypi4,pencil,mug,sv_modtypi2,pear,bowl,9,9,0,0.001953125
sv_modtypi1,cube,shelf,sv_modtypi3,box,table,10,5,4,0.623046875
sv_modtypi1,cube,shelf,sv_modtypi4,pencil,mug,14,0,14,1.0
sv_modtypi1,cube,shelf,sv_modtypi2,pear,bowl,10,4,5,0.828125
sv_modtypi2,pear,bowl,sv_modtypi3,box,table,9,1,7,0.998046875
sv_modtypi2,pear,bowl,sv_modtypi4,pencil,mug,9,0,9,1.0
sv_modtypi2,pear,bowl,sv_modtypi1,cube,shelf,10,5,4,0.623046875
