Scene1,Figure1,Ground1,Scene2,Figure2,Ground2,c1_times_labelled,c1_times_not_labelled,c2_times_labelled,c2_times_not_labelled,p_value_one_tail
sv_modtypi4,pencil,mug,sv_modtypi3,box,table,7.0,5.0,4.0,5.0,0.42498213860442935
sv_modtypi4,pencil,mug,sv_modtypi1,cube,shelf,7.0,5.0,1.0,4.0,0.18325791855203613
sv_modtypi4,pencil,mug,sv_modtypi2,pear,bowl,7.0,5.0,2.0,8.0,0.08204334365325065
sv_modtypi3,box,table,sv_modtypi4,pencil,mug,4.0,5.0,7.0,5.0,0.8579423672302924
sv_modtypi3,box,table,sv_modtypi1,cube,shelf,4.0,5.0,1.0,4.0,0.377622377622378
sv_modtypi3,box,table,sv_modtypi2,pear,bowl,4.0,5.0,2.0,8.0,0.2585139318885451
sv_modtypi1,cube,shelf,sv_modtypi4,pencil,mug,1.0,4.0,7.0,5.0,0.979638009049773
sv_modtypi1,cube,shelf,sv_modtypi3,box,table,1.0,4.0,4.0,5.0,0.9370629370629384
sv_modtypi1,cube,shelf,sv_modtypi2,pear,bowl,1.0,4.0,2.0,8.0,0.7362637362637374
sv_modtypi2,pear,bowl,sv_modtypi4,pencil,mug,2.0,8.0,7.0,5.0,0.9896063688633325
sv_modtypi2,pear,bowl,sv_modtypi3,box,table,2.0,8.0,4.0,5.0,0.9504643962848303
sv_modtypi2,pear,bowl,sv_modtypi1,cube,shelf,2.0,8.0,1.0,4.0,0.7582417582417591
