,on-canon,on-near1,on-near2,on-near3,on-not far1,on-not far2,on-not far3,on-far1
ground_lightsource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support,0.19681142353693218,0.25033694833961845,0.05056185654173786,0.1763080479646205,0.09431867096355097,0.16640899792329103,0.05610672727160202,0.1429699526289865
ground_verticality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shortest_distance,0.0778164426680546,0.07895887060508779,0.03026577001652876,0.036987038102660574,0.016926560355123,0.009440011160887536,0.00045709187009029557,0.024671425053463023
contact_proportion,0.07391268492327438,0.022365992348583306,0.03166110907039353,0.09379478098667979,0.00847667403435269,0.01767111456005415,0.058770552498469256,0.0008970292413322872
above_proportion,0.02595348293705683,0.05842742364744308,0.015038386233148442,0.029098720574553483,0.02101550728262304,0.015113938938782526,0.02817167382866329,0.08037854929215711
below_proportion,0.028316412271234683,0.03900020918173598,0.01474610970728667,0.010092622112160513,0.0008509636918700488,0.02054466009699302,0.0250949674496704,0.07879694018375066
bbox_overlap_proportion,0.06985981856920105,0.05685835199374923,0.030690218922330346,0.035294711138818574,0.025775310141445084,0.030157447225867558,0.00589776947852548,0.024420892325076243
horizontal_distance,0.054842485304745905,0.05167033628818554,0.020337774715394615,0.032345450444732006,0.015552567730129157,0.011678532712707388,0.00023794557372328138,0.036144395454537875
f_covers_g,0.0704922801207624,0.04338864196449675,0.027972104201061297,0.041802448815789636,0.0006842826228453786,0.01197695024830691,0.002186371334297808,0.015643869342796508
g_covers_f,0.0769534444102663,0.05210311069167117,0.040506443284187385,0.0232874491388015,0.034305208713242254,0.01337983478789323,0.0011474764487203954,0.001404421463157595
location_control,0.08840317027520637,0.0495113163340573,0.023725501479532146,0.09346705825444754,0.004442708063232598,0.011686390914727757,0.03900970570231291,0.04553135013991942
