,against-canon,against-near1,against-near2,against-near3,against-not far1,against-not far2,against-not far3,against-far1
ground_lightsource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support,0.012136964465196234,0.06193772124018323,0.0,0.0,0.0,0.030635346129723084,0.0,0.00319170980070898
ground_verticality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shortest_distance,0.028662235336967892,0.06257971911926455,0.0,0.0,0.0,0.06587287735400152,0.0,0.022748171834611024
contact_proportion,0.04860076086684397,0.0325423591570932,0.0,0.0,0.0,0.030909050061086657,0.0,0.00035556000010732256
above_proportion,0.04404913740053469,0.16377268819225324,0.0,0.0,0.0,0.1445097862434102,0.0,0.012606968726692928
below_proportion,0.02944275508407678,0.09343891819228277,0.0,0.0,0.0,0.08677987555227955,0.0,0.006208147953627343
bbox_overlap_proportion,0.005108339464208209,0.007682743913607271,0.0,0.0,0.0,0.04653230230639288,0.0,0.008723952862175203
horizontal_distance,0.03192386945249603,0.0851673080857139,0.0,0.0,0.0,0.014020553954551391,0.0,0.016905523277107443
f_covers_g,0.0006146970801472429,0.005531315460015611,0.0,0.0,0.0,0.06998298021982137,0.0,0.010095358765251763
g_covers_f,0.024631707583524363,0.030327770310782744,0.0,0.0,0.0,0.047989052276831035,0.0,0.01301804505050692
location_control,0.029623152212931957,0.07636192652767981,0.0,0.0,0.0,0.0635140714765391,0.0,0.020473738913233154
