,over-canon,over-near1,over-near2,over-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.05577936005548133,0.0003599457811750277,0.08250124520516451,0.0007707989129533549
ground_verticality,0.0,0.0,0.0,0.0
shortest_distance,0.01663895461148742,0.0045354301801597404,0.014216517867628432,0.0058068470396732495
contact_proportion,0.006929965077178731,0.0002166042467774518,0.0007733865968189563,0.00736933717744078
above_proportion,0.12974042976668063,0.0068196908614728945,0.13485571230637008,0.014819890971512593
below_proportion,0.04048288340527201,0.004571863431421557,0.013193610569378414,0.004468803405770865
bbox_overlap_proportion,0.04381260089785354,0.0036100347982485855,0.01576436793938061,0.00651045286205694
horizontal_distance,0.000777406486570863,0.00317871326263103,0.011694760625153339,0.004171791305467107
f_covers_g,0.06159508426766,0.004901525511991772,0.013210918269900885,0.0009517873301179767
g_covers_f,0.08308159293875764,0.007156351849399804,0.0009879921812334484,0.011543267549753043
location_control,0.01309929224200625,0.0010546333932762032,0.0099441046823095,0.003479615850425216
