,above-canon,above-near1,above-near2,above-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.0016706962941210205,0.011720769803434604,0.1537216176976568,0.003652590355206968
ground_verticality,0.0,0.0,0.0,0.0
shortest_distance,0.009486708826514485,0.0022096911330023606,0.019630170773744418,0.004297212460221947
contact_proportion,0.010839282939878065,0.003841903734890896,0.00608372862923387,0.010169260383486273
above_proportion,0.04044867974298035,0.014320775847295965,0.3064356077014377,0.016439463621713588
below_proportion,0.0036498304615401687,0.0019399365710153467,0.049933511338282006,0.011611741045048645
bbox_overlap_proportion,0.024697864561386354,0.0009907901506489463,0.02454660496241029,0.01013489933308377
horizontal_distance,0.017283100889166427,0.003509462379460652,0.006102939750582577,0.007921067563099076
f_covers_g,0.028002114206982738,0.001122243978588578,0.008488854427990376,0.00036650534516221076
g_covers_f,0.05811926268297395,5.542441246407905e-05,0.00464792133474878,0.015186121345818
location_control,0.002700297029563937,0.0004526575896789879,0.03434020251289452,0.017209436406699925
