,in-canon,in-near1,in-near2,in-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.032747439730452604,0.0,0.012441259132848461,0.0
ground_verticality,0.0,0.0,0.0,0.0
shortest_distance,0.009343131820597452,0.0,0.04172857859721681,0.0
contact_proportion,0.02422643135417689,0.0,0.0053588745272067475,0.0
above_proportion,0.006512728851231298,0.0,0.028934626712789825,0.0
below_proportion,0.0028772699801148053,0.0,0.004546563560334696,0.0
bbox_overlap_proportion,0.004206109090905464,0.0,0.04092702694757579,0.0
horizontal_distance,0.001961005067596885,0.0,0.028117354043044326,0.0
f_covers_g,0.020835027470244336,0.0,0.05127369146594409,0.0
g_covers_f,0.009308544416202498,0.0,0.021815753517341524,0.0
location_control,0.017116502329143954,0.0,0.04822232433506597,0.0
