Number of Native English users: 32
Positive Selections,negative_selections
1215,4500
Scene,Number of Users Annotating,Given Prepositions
compsvi46,7,"['none', '', 'over', 'on top of', 'on', 'against', 'above']"
compsvul,6,"['against', 'on', 'on top of', '', 'under', 'below']"
compsva13,4,"['against', 'on', 'over', 'on top of', 'above', '', 'none']"
compsva34,6,"['above', '', 'over', 'on top of']"
compsvu67,4,"['under', 'below', '', 'none']"
compsvo26,5,"['over', 'on top of', 'above', '', 'on']"
compsvo79,7,"['none', '', 'under', 'below', 'against']"
compsvi15,6,"['none', '', 'in', 'inside', 'against', 'over', 'on top of', 'above']"
compsva24,3,"['on', 'on top of', '', 'over', 'above']"
compsvu67a,5,"['none', '', 'below']"
compsvu34,3,"['under', 'below', '']"
compsvo17,3,"['under', 'below', '', 'on', 'on top of', 'above']"
compsvi26,6,"['against', 'on', '', 'none', 'over', 'on top of']"
compsvo14,5,"['on', 'on top of', '', 'over', 'above']"
compsvi3,4,"['against', 'on', '', 'none']"
compsvi13,6,"['in', '', 'against', 'inside', 'on', 'on top of']"
compsvi12,5,"['on', 'on top of', 'above', '', 'in', 'inside', 'against', 'none']"
compsvo68,5,"['against', '', 'over', 'above']"
compsvi24a,3,"['in', 'inside', '', 'against']"
compsvo28,3,"['against', '', 'on', 'on top of', 'above']"
compsvo12v,4,"['on', 'on top of', '', 'against', 'above']"
compsvo89,3,"['against', 'below', '', 'none']"
compsvu15,5,"['below', '', 'under']"
compsvi34,3,"['on', 'on top of', '', 'against', 'above']"
compsvo24v,4,"['none', '', 'on', 'against', 'below']"
compsva12,6,"['on', 'on top of', '', 'above', 'over']"
compsvo12,3,"['on', 'over', 'on top of', 'above', '', 'against', 'under', 'inside', 'below']"
compsvo29,6,"['against', '', 'on top of', 'above', 'below', 'on', 'none']"
compsvo23v,6,"['against', 'below', '', 'on', 'under', 'over', 'above']"
compsvo14a,4,"['on top of', 'above', '', 'on']"
compsvo16a,5,"['on', 'on top of', '', 'against', 'above', 'none', 'over']"
compsvo13v,7,"['against', '', 'on top of', 'above', 'below', 'on', 'under', 'over']"
compsvi14,8,"['in', '', 'on', 'on top of', 'inside', 'over', 'against', 'above']"
compsvi25,3,"['none', '', 'on', 'on top of', 'against']"
compsvo78,5,"['under', 'below', '', 'against', 'inside']"
compsvo27,5,"['under', 'below', '', 'on', 'on top of']"
compsvi24,3,"['against', '', 'on', 'on top of']"
compsvi26a,11,"['against', 'on', 'on top of', '', 'none', 'under', 'below']"
compsvo16,3,"['on', 'on top of', '', 'above']"
compsvo19,4,"['below', '', 'on', 'on top of', 'none', 'against']"
compsvu56,5,"['over', 'above', '', 'against', 'under', 'below', 'none']"
compsvu53,7,"['under', 'below', '', 'over', 'none']"
compsvu23,3,"['under', '', 'none', 'below']"
compsvo67,4,"['under', 'below', '', 'over', 'above']"
compsva25,3,"['on', 'on top of', '', 'above', 'against']"
compsva23,3,"['on', 'on top of', '', 'above', 'over']"
compsvu25,3,"['against', 'on', '', 'under', 'below']"
compsvi16,3,"['none', '', 'in', 'inside']"
compsvu16,3,"['below', '', 'under', 'none']"
compsvi36,3,"['against', '', 'on']"
compsvo24,5,"['on', '', 'on top of', 'above']"
compsva15,9,"['over', 'above', '', 'on', 'on top of']"
compsvo69a,3,"['below', '', 'over', 'above', 'none', 'on', 'on top of']"
compsvu63,5,"['below', '', 'under', 'none']"
compsvo14v,4,"['none', '', 'on', 'on top of', 'above']"
compsvo18,6,"['against', 'below', '', 'on', 'on top of', 'above']"
compsvu25a,6,"['under', 'below', '', 'none']"
compsva14,3,"['on', 'on top of', '', 'above', 'over']"
compsvi45,3,"['against', '', 'none', 'below', 'in', 'inside']"
compsvu17,4,"['under', '', 'below', 'above', 'against']"
compsvula,4,"['against', 'on', 'on top of', '', 'below', 'none', 'under']"
compsvo34v,4,"['against', 'under', 'below', '', 'none', 'on', 'on top of']"
compsvi14a,7,"['in', '', 'against', 'on', 'over', 'inside', 'on top of', 'above']"
compsvo68a,3,"['against', '', 'above', 'over', 'under', 'on top of']"
compsvi23,3,"['under', '', 'inside', 'below']"
compsvinew2,5,"['on', '', 'under', 'below', 'in', 'inside', 'on top of']"
compsvinew1,3,"['on', '', 'under', 'on top of', 'against', 'below']"
