,in-canon,in-near1,in-near2,in-far1
ground_lightsource,,,,
ground_container,,,,
support,0.48885309562261636,1.105139791265252,1.658870738268855,1.4653080023294252
ground_verticality,,,,
shortest_distance,-0.602573893987224,-0.602573893987224,-0.602573893987224,-0.559988231249031
contact_proportion,4.26792661588889,2.3364828799811512,0.4616480061163876,0.6934253404616824
above_proportion,-0.25072398695199594,-0.42150519792473395,0.8851681815221152,0.05170290421737143
below_proportion,-0.7484621051199398,-0.7484621051199398,-0.7484621051199398,-0.7376309874332015
bbox_overlap_proportion,3.5434916330605963,3.070851200148461,0.350671120782037,1.560832871089175
horizontal_distance,-0.7640150626614379,-0.7621421795229679,-0.6396468131085455,-0.8386750153818106
f_covers_g,0.21914421673177317,-0.35163684330962885,1.536002907966404,-0.021335585820108215
g_covers_f,1.5157075793798147,1.4259694290837281,0.07903452584126018,0.6516705339012687
location_control,1.8128552119951065,1.1402658092884626,1.6362084526014005,1.1786120325902623
