,on-canon,on-near1,on-near2,on-near3,on-not far1,on-not far2,on-not far3,on-far1
ground_lightsource,,,,,,,,
ground_container,,,,,,,,
support,1.6834918653949005,1.6746950424847984,1.042325025375628,1.6558628705834708,0.7029569784513684,1.6837178985981087,0.19717691785878375,0.2972886751498689
ground_verticality,,,,,,,,
shortest_distance,-0.6025660157769415,-0.5282461561084028,-0.602573893987224,-0.6025630385081807,-0.42862096778761477,-0.5053391764540857,-0.602573893987224,-0.4545476510151929
contact_proportion,2.439255012812761,0.32340388642110174,2.1776583898882715,4.403483554377986,-0.25116945723339623,-0.4495031203312162,2.8133818041319807,0.00893201320913733
above_proportion,1.0216895488000832,1.189951889870569,0.8247422689329057,-0.5363380134814955,1.0798324533511434,-0.9059561524155018,-0.8198315407479306,-0.9059561524155021
below_proportion,-0.7484621051199398,-0.7484621051199398,-0.7484621051199398,-0.7484621051199398,-0.7484621051199398,-0.7484621051199398,-0.7484621051199398,-0.622495639678374
bbox_overlap_proportion,0.17184165252722972,-0.2574474189492632,1.13232597513186,2.949995956446609,-0.2137358272925123,1.4162092088765017,2.8675922913303515,1.3025737296580295
horizontal_distance,-0.41238658092895064,-0.26476666840629365,-0.594668170483213,-0.7422634933200992,0.2477383595817799,-0.3124233888433996,-0.8064862895709023,-0.5698335561232172
f_covers_g,-0.6262726034160209,-0.15899251679478243,-0.12000413061924062,-0.7049793677032158,-0.029220426293450934,-0.6159708775391596,-0.34358998106531,-0.49505035682913134
g_covers_f,1.5021929614475265,0.8892812276495108,1.5157075793798147,1.275691976813169,0.7117900409197521,-0.006365186033100055,0.871219304768487,-0.053805402945626905
location_control,0.9861126836521428,1.1722257467413386,1.416522853088064,1.39398980835515,1.029219639645267,1.843259548953181,1.086903094970721,0.38072871976389666
