,on top of-canon,on top of-near1,on top of-near2,on top of-far1
ground_lightsource,,,,
ground_container,,,,
support,1.566916076300487,1.1966129658095779,0.7519458192179271,0.498573687050108
ground_verticality,,,,
shortest_distance,-0.6025674481788109,-0.3580337785159488,-0.6025645892909013,-0.31981458565239523
contact_proportion,2.3916919904628533,0.1602949834860307,2.605467746768307,0.2183577045786554
above_proportion,0.9858809524605964,1.1751617827543406,-0.5891406047577821,-0.9059561524155019
below_proportion,-0.7484621051199397,-0.7484621051199402,-0.7484621051199399,-0.6778356179051522
bbox_overlap_proportion,0.3464751657280716,-0.256476000030818,2.3977553075411975,1.5759153485718138
horizontal_distance,-0.44552868812063456,-0.1642344821845228,-0.7146651099152891,-0.38837477752981103
f_covers_g,-0.5342237901802425,-0.1235912315095801,-0.5472518787721362,-0.5528810064309211
g_covers_f,1.5046501647079424,0.7362682708408926,0.9292721921214978,0.07889084568675428
location_control,1.0643690780950377,0.9156198319538094,0.9003518179976859,0.7234160336196102
