,cluster_0,cluster_1,cluster_2
support,1.6084367152679953,1.6280108481245523,0.7033559297723275
shortest_distance,-0.5599793015157516,-0.602573893987224,-0.5464254358849738
contact_proportion,0.8968720539656916,6.368591495550767,1.0670520247503468
above_proportion,1.161499994210836,-0.9059561524155018,-0.8146689599076626
below_proportion,-0.7484621051199398,-0.7484621051199398,-0.6941096522902218
bbox_overlap_proportion,-0.21728092176080582,3.7254551365956585,2.228061970765607
horizontal_distance,-0.25168168435736465,-0.7562662282300623,-0.6284912084298929
f_covers_g,-0.26127245770002133,-0.8314620421571188,-0.40352113450397353
g_covers_f,1.0336278097842433,1.1254145245426093,0.482152220191352
location_control,1.1108571279335417,1.6834550747519255,0.8216667922806599
