,cluster_0,cluster_1,cluster_2
support,-0.6281988601668209,-0.20125627933621226,-0.6281757191969424
shortest_distance,0.5353227271876362,-0.46709280064669256,-0.5176839790464155
contact_proportion,-0.43737062299394314,-0.15590119277499329,0.3757913598618044
above_proportion,-0.9059561524155018,-0.9059561524155018,-0.9059561524155018
below_proportion,1.3481887739767169,-0.6753687928700967,-0.40072620043890406
bbox_overlap_proportion,-0.3474445609401726,4.056903369990518,0.5902035582094814
horizontal_distance,0.23186800343258968,0.027907936082007423,0.3539066106912545
f_covers_g,1.0275341337145396,-0.6108424205611721,-0.7719296621825503
g_covers_f,-0.17912402799905103,1.2955291579315196,-0.39311253178030386
location_control,-0.7787779906637875,0.10765458163241165,-0.12319208040812696
