,cluster_0,cluster_1
support,0.7937174414693458,-0.6282480394372744
shortest_distance,-0.5931644732975778,0.31814452000986626
contact_proportion,0.9005615256176592,-0.4495031203312163
above_proportion,0.8556445623718822,0.9698356169400179
below_proportion,-0.7388854822696176,-0.5836901093021738
bbox_overlap_proportion,0.2736097117132227,-0.2951818887642431
horizontal_distance,-0.07137636847322806,0.17355006626230696
f_covers_g,-0.4601757073855341,0.42319778082678644
g_covers_f,0.7814109175281525,0.19438373423529426
location_control,0.9439598992774134,-0.7026386543906464
