,Distinct Prototype,Baseline Model,Refined Distinct Model,Median Distinct Model
p_value,0.2517223358154297,0.5880985260009766,0.9987115859985352,0.13158798217773438
Cluster model wins,12.0,10.0,4.0,13.0
Other model wins,8.0,10.0,12.0,5.0
