,Distinct Prototype,Shared Prototype,Baseline Model,KMeans Model
in,0.8794128787878787,0.8794128787878787,0.8858333333333333,0.8169128787878787
on,0.9410555497769455,0.9438333275547233,0.9410826060540021,0.9616790906779465
under,0.9004359497882639,0.8803021027365107,0.7430281071585421,0.8391739766081872
over,0.6111525974025974,0.6413419913419912,0.7228246753246753,0.6928950216450217
Average,0.8330142439389213,0.836222575105276,0.8231921804676381,0.8276652419297585
Overall,0.8639241800242641,0.8725125078296427,0.8420511045471791,0.8581514631305959
