,Distinct Prototype,Baseline Model,KMeans Model
in,0.8015970515970516,0.8501228501228502,0.9318181818181819
inside,0.8479020979020979,0.8898601398601399,0.7832167832167831
against,0.733159828536436,0.8848744641763625,0.769748928352725
on,0.9384191176470589,0.9350490196078431,0.944546568627451
on top of,1.0,0.9530108339632148,0.9489795918367347
under,0.7672101449275363,0.6210748792270532,0.8864734299516908
below,0.8480300187617261,0.8713883677298311,0.8575984990619137
over,0.6939752252252251,0.8313626126126126,0.8147522522522522
above,0.8078947368421052,0.7906432748538011,0.9029239766081871
Average,0.826465357937693,0.8474873824615232,0.8711175790806578
Overall,0.8341697305897783,0.8436603668107248,0.8809692747640242
