,Distinct Prototype,Baseline Model,KMeans Model
in,0.825826479076479,0.841683982683982,0.821789682539682
inside,0.898598124098124,0.935328282828283,0.868981962481962
against,0.82558429852741,0.868383086083164,0.832066029601633
on,0.937896829246733,0.916804681253114,0.948362064804741
on top of,0.982189315515402,0.978137109837187,0.96933882042226
under,0.899362735690522,0.782853237807421,0.894187704796063
below,0.769464821727046,0.855448140802428,0.875833768518937
over,0.79205652272564,0.779184644603762,0.678551570978041
above,0.862459531696373,0.839843316040684,0.812866915978758
Average,0.865937628700415,0.866407386882225,0.855775391124676
Overall,0.874982800872975,0.870285099698126,0.873106322587208
,,,
,,,
Poly average,0.863785641684843,0.83013163658707,0.835722755779632
Non Poly,0.867659218312871,0.895427987118349,0.87181749940071
